time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,149.867390270111,145.941284373696,125.42674096521,49.036527842529,26.1359700556509,25.0621272393483
2,150.153957327055,146.156949397507,125.163345629654,48.9166838233435,26.137360535213,25.0108248582713
3,150.375780083886,145.667443834741,124.727194648273,49.0783156089989,26.1742431786978,24.959533079131
4,150.125299761393,145.423619720526,125.064583233501,48.91675437315,26.3219618877262,25.0830834154051
5,150.077688772404,145.915350094819,124.382852992997,48.9618456714608,26.2175390944801,25.0131430445065
6,150.125355928137,145.747555014936,124.936249886199,49.4967636957627,26.2031578383273,25.1143857792405
7,150.017729879938,146.363370667436,124.707085265688,49.2417323433991,26.1477826266,25.0982083298295
8,149.373889090498,146.344029489237,123.885373729489,49.4882412761364,26.3588884598842,24.9641259042818
9,150.329355202289,146.1706966313,123.738027516722,49.7688750920469,26.2158564213621,25.011600473248
10,150.744234166945,145.377822939493,123.707820576016,49.4872190774859,26.3351507370704,24.9616704378137
11,149.781801457435,145.200564705208,123.392787861796,49.597833254989,26.2799110288591,25.0307006976648
12,150.706888222775,145.970403903434,123.757715073657,49.7824070374458,26.2224092020297,25.0741561713271
13,149.769673141951,145.575779380125,124.099630707103,50.1914683577449,26.3592583282482,25.0614687253852
14,150.57981579264,146.489331895273,123.686146212585,50.0365714856068,26.3406426142909,24.9063840578387
15,149.932042297488,146.531034167529,123.420493771149,50.0956765048036,26.2624116472544,25.0805985016898
16,149.870140933531,145.49919147206,123.701111166001,50.1541590128097,26.3600729614861,24.8812876253571
17,149.576598102536,146.228950873272,122.617010754933,50.3984203538664,26.3883704552918,24.978607220231
18,149.438481881044,146.347477966787,123.476603311689,50.5088442244114,26.2712244782781,25.0578518669932
19,149.71337189035,145.891639095595,122.358755512845,50.5076367639971,26.2525295047838,25.070343500069
20,150.339156647497,146.288402300519,122.729618295374,50.7843752657929,26.3278465940744,24.9668214787828
21,150.424308109469,146.354568431631,122.142891551903,50.7321079552126,26.4145640599566,25.0612169640604
22,150.29068142248,145.758903380014,122.527624633007,51.1213787067161,26.3683899820971,25.0980667970578
23,149.264703378395,145.999343361512,121.726512875291,50.9348560679789,26.2893881989217,24.9356508465699
24,150.514820007016,145.757991036101,122.539147900667,51.3445590693521,26.3899367158765,24.9073992439594
25,150.633497996694,144.935467462847,122.522595379674,51.5771307268632,26.4540902299731,24.931266970532
26,150.406431331011,145.528085577636,122.491779189726,51.4120896142094,26.3521930093782,24.9625034797502
27,149.313989783903,145.799216639698,122.466120627395,51.6411303297945,26.3578687828401,24.9467711532865
28,149.817279205575,145.597676951115,121.770944613269,51.8223993097253,26.3038762860287,25.1068720017949
29,150.306509436725,145.361887837139,121.3813231328,51.676251316363,26.2469479032398,24.8878284392042
30,150.344269568257,146.165158149162,121.071389185211,52.0182446843321,26.2823898913346,25.0231666888016
31,149.586415605997,145.990128286091,121.466022380188,52.2094385231922,26.2651198452894,24.9157247250544
32,149.65358209766,146.000502264143,121.462575747682,52.1034139587634,26.3689918155137,25.0846014424183
33,150.259546747506,145.289530591903,121.581979780445,52.538043405922,26.2552670915543,24.9168902325528
34,149.96623829659,145.59322633885,120.664619137296,52.7199088004603,26.5003005130251,25.0005501538524
35,150.185574619001,145.982613519131,121.274502490186,52.7646549318769,26.4344300376431,25.1248323697564
36,149.604667398961,146.054638689058,121.010357304779,52.6940954541849,26.2710240568129,24.963851787817
37,149.515685631747,145.652994713879,120.505063259967,52.6811892957055,26.2844873455971,24.8867694273872
38,150.494465078546,144.965875566726,121.347504040525,53.0339925092233,26.337272430296,24.9284151462802
39,150.400382501903,145.600375239249,120.843603682733,52.8682337774465,26.4080805352876,24.9744597810257
40,150.651717409677,144.739491656529,120.581208691935,53.3533048049446,26.3271090697773,24.9584170450951
41,149.411833357627,145.211177774534,121.105839340454,53.2756928119187,26.3012905233937,24.932400632992
42,149.523341258402,145.574857775118,120.682669434105,53.3650149484261,26.4966732992078,25.1090300443755
43,149.398642923634,145.948352642263,120.360294833969,53.2351394048545,26.4034727269065,25.045797196175
44,149.984645702885,145.756016700392,120.751823233078,53.2878274152236,26.5215498712474,25.1155284489307
45,149.539867995703,145.268160250413,120.308558685126,53.4714448863585,26.4358810016893,24.9844932944082
46,150.593837360689,145.650310480131,120.261779501308,53.8893837079773,26.4410344706026,25.1100841636052
47,149.398634474523,145.143789340427,120.342331305784,54.0107804169211,26.34363930148,24.8764585811431
48,149.316248357644,145.936810161468,119.896874773487,53.9886880542619,26.3487641861077,25.0275767575175
49,150.085942733707,145.947764721147,119.675027964179,54.0927543576673,26.3646837453584,25.0752689392415
50,150.408742600781,145.755624142772,120.01520202899,53.9139540015072,26.5027224271532,24.9332453833534
51,149.717910086244,145.053416091671,120.294134391095,54.1885915271133,26.4140762276618,25.1081171689802
52,149.518473718972,145.13727682362,119.677676358762,54.4020019963078,26.5778136919626,25.0658156938334
53,149.758433517372,144.823646956914,119.261549704644,54.2661455387162,26.5867070388858,25.0816123849257
54,149.565218455565,145.593018177737,119.595169527592,54.6676663457661,26.6195269028459,25.0183658971512
55,150.015228779648,145.724717710662,119.361383376076,54.2608792186438,26.4982863208506,25.0731454160301
56,150.609546484898,145.758555330127,119.421427442984,54.4676499281271,26.4315700462727,24.9572602989598
57,150.193385907978,145.231874144884,119.877468198203,54.6514661683018,26.4375310182056,24.9308654940315
58,149.402300833218,145.280209934818,119.304823638472,54.4834646608587,26.5242118623371,24.9530965855048
59,149.83628212909,144.616763233979,119.230417721846,54.9251132424785,26.5882460743236,25.0211308696321
60,149.331924922835,145.696176254399,119.137435652753,54.9088330831397,26.4825250646727,25.0824785352554
61,150.001924369805,145.034103839764,118.818158982467,54.9691626975552,26.5168253159744,24.9476156228868
62,149.897581757826,144.669146261982,118.90523225802,55.2087288713571,26.568167127047,24.9756385980158
63,150.746340524268,145.666317786054,118.643624907708,55.2978544291272,26.6459772322077,25.0905143246083
64,150.467403871493,145.457852579869,118.997268381989,55.3315975167855,26.4493942834726,25.0286848875541
65,149.978477504847,145.622332810401,118.738613668659,55.1424035246255,26.6003626234818,25.1227969470824
