time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
1,150.004720855296,145.805829621639,137.293939935559,124.581687200539,76.632588584354,69.6717876108283,47.2884924721376,34.1793788571449,26.2703075487312,25.0005672863773
2,150.006086879056,145.808387897764,137.306201116521,124.519975378774,76.7471509728721,69.7192766948229,47.3357287804936,34.1947607114474,26.2718810617468,24.9996846191646
3,149.994404802244,145.819315622512,137.2996797209,124.43401584689,76.8792565920266,69.7907390592187,47.3902834336991,34.2109905900794,26.2733275781086,25.000203955208
4,150.006200637842,145.813012260906,137.271175350507,124.316245112105,77.0323672481617,69.8789596632382,47.4510140407111,34.2306241846174,26.2767546560179,24.9990402962819
5,150.001985388693,145.819177784676,137.226922737753,124.183688533386,77.1921208551338,69.9777833200907,47.5199986275204,34.2549835468312,26.2784455845942,24.998894135903
6,149.993963106075,145.807821518332,137.182021264582,124.051078228828,77.3612481833595,70.0945880568796,47.5965356478919,34.280858025323,26.2831658852691,25.0011994130599
7,149.996677473283,145.803695134891,137.128317124749,123.89518192743,77.5390990771912,70.2145674490069,47.679288332197,34.3115833391488,26.286671762048,24.9994620593172
8,150.000703222788,145.798015841216,137.074576422407,123.742665804136,77.727744277351,70.3483207449795,47.7664133776518,34.3436814375913,26.2893471776205,25.000237435747
9,150.006862602532,145.78848084833,136.997857880493,123.587345277006,77.9135273714987,70.4801820167455,47.8640575930143,34.3780763709974,26.293844645913,25.0011554025775
10,150.006973328028,145.764403686483,136.938632580387,123.423188151281,78.1027075463401,70.6227225687113,47.9647568546783,34.4134295501707,26.2989592674173,24.9992144456585
11,149.994864196225,145.761051748995,136.864485113837,123.267255533522,78.2992743385852,70.7644286254688,48.065190831513,34.4523981039585,26.3038048326935,24.9992325995399
12,150.007058891726,145.741524272369,136.787855981555,123.102956272664,78.4875471571584,70.9141430615633,48.1752225368267,34.4955153881753,26.3103923126857,24.9996041102616
13,150.006857504224,145.718701995784,136.711299948159,122.94766672933,78.6880378201387,71.0630155427207,48.2822718772536,34.5375420409542,26.317195965984,25.0010822447395
14,149.999780634731,145.698252665801,136.639969088569,122.790904996085,78.8836868321946,71.2193576583082,48.3974371994363,34.5840934584012,26.3226199965399,24.9997266688415
15,150.004504207033,145.677818514679,136.565995873642,122.632947975464,79.0778016861072,71.3733360958088,48.5099307169565,34.6297857045982,26.328551481597,24.99943304177
16,149.994628295079,145.654482763447,136.486566615803,122.475623492688,79.2696440115127,71.5233521323843,48.6259262342109,34.6739265236642,26.3358120727333,24.9991298676996
17,149.998826419239,145.635609324355,136.418960242072,122.330126328598,79.4667329291956,71.6796027769853,48.742404049983,34.7230704626018,26.3402892783174,24.9997427721069
18,150.006236032878,145.613446418715,136.340715990856,122.184961713865,79.656840963462,71.8303838252577,48.8602815264076,34.7714075717732,26.3490334109589,24.9996868061674
19,150.004383109943,145.595471849671,136.270482817357,122.03988821431,79.8463760933748,71.9850735484399,48.9801012462512,34.818866634115,26.3536252308668,24.9990777867676
