time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
1,150.004720855296,145.805836962724,137.294814443431,124.615053100126,76.6064725736789,69.675127718349,47.2816049394377,34.1792261905557,26.2703088425747,25.0005672863773
2,150.006086879056,145.808790582172,137.317587156589,124.638359132523,76.6542810493536,69.7148069887074,47.3106083644898,34.1925821229305,26.2718148456851,24.9996846191646
3,149.994404802244,145.821576979621,137.336667855601,124.668181690713,76.695912943987,69.7583855647781,47.3379201221383,34.2036088111195,26.2729199071294,25.000203955208
4,150.006200637842,145.819381340009,137.347632022164,124.687220391623,76.7411044305369,69.8000464746685,47.3623312837573,34.2145713039846,26.2755979813558,24.9990402962819
5,150.001985388693,145.832227821238,137.354192594605,124.706344804983,76.7790904188983,69.836324603924,47.3860467101845,34.2266535720508,26.2760735284091,24.998894135903
6,149.993963106075,145.830172198488,137.36907271575,124.735874690402,76.8151812735539,69.8770745279009,47.4087977440052,34.2366168981194,26.2790849804042,25.0011994130599
7,149.996677473283,145.837866818288,137.382093568485,124.749047202312,76.8507761386627,69.909657514198,47.4298592457362,34.2478764966592,26.2803827428363,24.9994620593172
8,150.000703222788,145.846343419054,137.40037775297,124.770050714573,76.889591530454,69.9464346221026,47.4480888563406,34.257132282307,26.280361259773,25.000237435747
9,150.006862602532,145.853069262311,137.3995683766,124.790634916634,76.9195115852791,69.9733535224845,47.4703026116648,34.2655395111403,26.2816948323773,25.0011554025775
10,150.006973328028,145.847102009069,137.419138541294,124.803118785068,76.947922666713,70.0042179639803,47.4897887438267,34.2720297038336,26.2832095840783,24.9992144456585
11,149.994864196225,145.863475281049,137.425671348835,124.823522628085,76.9797464582849,70.0287298560747,47.5039491711128,34.279527665903,26.2840554470438,24.9992325995399
12,150.007058891726,145.865019131236,137.430904461851,124.834115573766,77.0004238656021,70.0566206101487,47.5231735483539,34.2888366942862,26.2862795626276,24.9996041102616
13,150.006857504224,145.864386121528,137.436801395098,124.851782918102,77.0308340789424,70.079981138872,47.5356326965699,34.2950158602185,26.2883950994966,25.0010822447395
14,149.999780634731,145.867031585639,137.448055123988,124.86535205631,77.0548789774024,70.1077462751385,47.5528096895192,34.3038984366029,26.2888453326803,24.9997266688415
15,150.004504207033,145.870397062456,137.456357940119,124.874683757412,77.0763691295031,70.1308668557729,47.5645890315003,34.3103778591395,26.2895507628331,24.99943304177
16,149.994628295079,145.871382245032,137.458548601072,124.8813311713,77.0950774840962,70.1483583482406,47.5774905147618,34.3139959257429,26.2913645784569,24.9991298676996
17,149.998826419239,145.877202017251,137.471769857277,124.896508266476,77.1187323879447,70.1707240637944,47.5889609245267,34.3214419866412,26.290212055162,24.9997427721069
18,150.006236032878,145.879951687345,137.473188143859,124.908362304438,77.1358214446334,70.1869301950561,47.6002649757756,34.3271487929767,26.2931586657355,24.9996868061674
19,150.004383109943,145.886999064147,137.481436158985,124.916554343264,77.1528930010839,70.2065352374743,47.6122556185822,34.3312175998343,26.2918278974232,24.9990777867676
20,150.006892386396,145.889099586071,137.489908867991,124.925215804429,77.1708733239182,70.2256455504601,47.6247696506986,34.3370242826432,26.2936349091132,24.9998376017947
21,150.002336110487,145.889206450867,137.490793701784,124.942085294173,77.1925909937411,70.2400833462755,47.6350079863191,34.3417961072459,26.2933447435203,24.998978782918
22,149.993035675179,145.887509300378,137.49647249692,124.945771732005,77.2018100082137,70.2534734184747,47.6440215223406,34.3447649740035,26.2950951686926,25.000286567395
23,150.005236939588,145.895888465336,137.505836651125,124.959616452024,77.2178777045023,70.267641330958,47.649698186465,34.3494745584253,26.2942574780086,24.9987774477307
24,150.006509898716,145.893773784432,137.505611418182,124.961101642008,77.2303827802823,70.2823735970228,47.6621304432966,34.3528300171892,26.2968496361114,25.0001831509582
25,150.002681027323,145.892964705269,137.517665716726,124.973104758998,77.2465993815915,70.2950913143464,47.6705184683574,34.3546074822247,26.2976222491598,25.0007243246451
26,150.003866101959,145.903296227044,137.523975567253,124.975343722158,77.2558061140292,70.3068885500991,47.6773815935737,34.3595276803035,26.2983286767981,24.9993384169329
27,150.003646987022,145.904031569169,137.524416893709,124.987013931584,77.2744865626117,70.3198750750781,47.6810901046875,34.3635042579163,26.2990124317707,24.9998700492837
28,149.998383405293,145.900845196414,137.522806972921,124.992522783279,77.280293484515,70.3321435721709,47.6894889670591,34.3661895069182,26.2982180355466,25.0001733954582
29,150.002332168353,145.903383406171,137.529616189009,124.993649371066,77.2901181632744,70.340294454802,47.6974818573303,34.3686272060009,26.2980509928119,24.9989035036057
30,149.995067800317,145.904270303728,137.526384464097,124.997167653756,77.3018300713589,70.3501658774101,47.7036969047347,34.3733610823981,26.2980259207512,24.9999907222141
31,150.00309069132,145.900064961432,137.540508885791,125.009588206746,77.3125022811462,70.3573362565003,47.7070571911366,34.3756352725079,26.2994978026804,25.0003557880865
32,149.992977492696,145.902687067545,137.543116670906,125.016535924985,77.3187781005109,70.3654463791942,47.7127341971582,34.3782058540373,26.3000822226153,24.9993031643253
33,149.996653844774,145.906353451771,137.545081137169,125.013460219198,77.3342251743894,70.3756642861388,47.7198345956942,34.378937675561,26.3009081756749,25.0008426411138
34,149.993192570859,145.903972451317,137.540085106121,125.022203555856,77.3371776818016,70.3837602892254,47.7237990100263,34.3819402605033,26.2994605177764,25.0011776880786
35,149.993956976719,145.913995599959,137.547197341411,125.023504864096,77.3445606200309,70.3936096783032,47.7291337974685,34.3850254284835,26.3013048175546,25.0008659322192
36,150.004851867425,145.905528177748,137.541720597387,125.032426889375,77.3499849000809,70.4028295155128,47.7316754159606,34.3872466011418,26.3012297646486,25.0000149986397
37,150.002922429345,145.906938925186,137.549521791403,125.035391627186,77.3586708180451,70.4093883452635,47.7355486069252,34.3882397574477,26.3006089760738,24.9994471890279
38,149.997256492201,145.907038413369,137.550114702865,125.031441454687,77.3632157838228,70.4123748000942,47.7425989433829,34.3884551913532,26.3029013337987,25.0006165430546
39,150.006753330733,145.908726315773,137.55006120708,125.043509722111,77.3729157748662,70.4168566073308,47.7460254233601,34.3916998432023,26.3022449592533,24.9993423259603
40,149.993016691208,145.912572964011,137.552217677059,125.048310457683,77.38071765813,70.4262353644384,47.7503530864184,34.3913152032172,26.3020961593424,25.001143363204
41,149.999081165395,145.911522830678,137.557392248413,125.045396235574,77.385220212228,70.4315930635881,47.7497458929127,34.3939965105585,26.3036469390598,25.0003006500902
42,149.998223376856,145.921183827987,137.554590990532,125.052890670879,77.3862499341679,70.4365644897973,47.753262764327,34.3963403222987,26.3031145968776,25.0002506553638
43,150.003982751822,145.914675907539,137.563156208101,125.051902667576,77.3911199054198,70.4414172622774,47.7558593331809,34.3986297569742,26.302786320648,24.9991815112541
44,150.004427998517,145.911746765533,137.562942293177,125.049056338809,77.4011866978975,70.4414987370525,47.7605594085522,34.3995061882469,26.3040033628916,24.9989758668454
45,149.995303089068,145.922870500886,137.567497088296,125.052055279868,77.4066048829186,70.4498844606877,47.7618265951379,34.3996129914803,26.303382308052,24.9993881555066
46,149.999846465937,145.92072151227,137.301927865731,120.929258967956,80.6614677556227,70.3389804935252,48.7270877782233,34.4540178466218,26.3039396648644,25.0008964263281
47,149.999183793011,145.854214936795,136.432449173659,119.083945370631,82.0072419100269,71.4153685499176,49.3373156043585,34.6526941353804,26.3167744304326,25.0010276676335
48,150.002194695152,145.733327940375,135.61494625132,117.991710294727,82.8085562365841,72.3860209630929,49.9303913487942,34.8839227871641,26.3409817690785,25.0004990844181
49,150.003140472463,145.598284640305,134.988224804945,117.263926201825,83.3832685371791,73.1651999450958,50.4969910330221,35.1199307381721,26.3708310024986,25.0005629558876
50,150.00382030023,145.461691203622,134.519437564615,116.758754582525,83.8387388186512,73.7808512580056,51.0116994446454,35.3517975933002,26.4036061576454,24.9993247151971
51,149.996640376155,145.332590645371,134.166831145975,116.416050459868,84.2175405178401,74.2891414484491,51.4668115115813,35.5697731748195,26.4359758183251,25.0001901336408
52,150.002695540153,145.206642200764,133.899358553822,116.173787583167,84.5294977862811,74.7185238806386,51.8692740245153,35.7716786964526,26.464797110283,25.0007765702625
53,150.00232647006,145.102580964322,133.69108038473,116.013781633735,84.806152740568,75.0832457722904,52.2236904886177,35.9525264043991,26.4917328768022,24.999759608421
54,149.994939176028,145.007487234118,133.53981607344,115.908917238532,85.0556838001517,75.3947297184766,52.5326477536669,36.1160201354098,26.517681376562,25.001221098168
55,149.994284965223,144.915653576241,133.418349053224,115.849832537705,85.2738668014236,75.6716628183534,52.8054939440119,36.2591053961576,26.5396939746444,24.9989749970375
56,149.99997546078,144.840563457351,133.329795750955,115.811182254984,85.4708947876559,75.9113867155363,53.0456607206715,36.3848700803281,26.5598146713727,24.9995523525816
57,150.006896159378,144.779795475815,133.2540275603,115.792084541788,85.6524992678666,76.1350335156039,53.2536482735489,36.4940716959612,26.5784922533041,25.000028522347
58,149.9976057859,144.725959054839,133.198574652746,115.795293949712,85.8167276581376,76.3271799100835,53.4356821721351,36.5914454258464,26.5928065788595,24.9989015159164
59,150.001279016265,144.681531315544,133.156573708156,115.801979989723,85.9681820748867,76.5044062067827,53.6009070438663,36.6754911428581,26.6064036636529,25.0005642198089
60,149.995857179092,144.644031265893,133.135063892158,115.819548152344,86.1026220067748,76.6590372633259,53.7445393041294,36.7539670550901,26.6183671244628,25.0001413893714
61,150.00376900589,144.605558885799,133.117716251397,115.85303263001,86.2338826367992,76.8099727651509,53.8766274450867,36.8194156195127,26.628443056603,25.0000733997562
62,149.996326426732,144.581279817466,133.100333479129,115.877837228789,86.3506144785499,76.9416716778888,53.9922913983419,36.8781653051929,26.6382288728298,25.0008249560801
63,150.000089355775,144.567012373935,133.088802218872,115.912881526559,86.4581620710587,77.0575826135184,54.099526837879,36.9339338259602,26.646198068197,25.0008968975852
64,150.00298615084,144.537927280324,133.088472600603,115.942569909661,86.556016365274,77.1712691266435,54.1923471223496,36.9810446883516,26.6546440182253,25.0007225723083
65,150.005863548788,144.536540249704,133.087839289915,115.974518164983,86.6555235967377,77.2711692469849,54.2753377801844,37.0242409804627,26.660937574978,24.9995445826343
66,150.006889371378,144.522303259747,133.0932037783,116.010805524117,86.7381360234269,77.3661055353833,54.3543462959588,37.0605327145519,26.6671168856835,24.9998805186344
67,150.000708232949,144.5100134314,133.101191621085,116.045031176045,86.8206665829437,77.450790270022,54.4199832826256,37.0967570966032,26.6729333744148,25.0006305699251
68,149.994579366642,144.504693444712,133.10992933797,116.079374690936,86.8962649935675,77.5300463256995,54.4848809305038,37.1282384656138,26.6770728218172,24.9990246542644
69,149.994739410083,144.494978441637,133.117883877901,116.100311036488,86.9598922353335,77.6012875428731,54.5457994366807,37.1548548814245,26.6825706143986,24.9990243559215
70,149.996362623812,144.494935328632,133.133301435058,116.141935374204,87.0243976488971,77.6694099888033,54.5987990592692,37.1819835218935,26.6872232653094,24.9994247091593
71,150.00511075884,144.500260665483,133.139095581948,116.169625641544,87.0879077277369,77.730105808153,54.6463209935586,37.2052922498693,26.6897161905183,25.0000615933635
72,149.996314232685,144.49334960664,133.15578627901,116.203596976822,87.1430721964334,77.7950706021674,54.6904714883587,37.2287095230526,26.6945688818746,25.0011816276924
73,150.004714272391,144.492958953177,133.163026894515,116.226713794395,87.1985343873713,77.846726541234,54.7300694174419,37.2470585494243,26.6957916580706,25.0005260217132
74,149.996152874531,144.489470791069,133.178741764435,116.253511031001,87.2461619794979,77.8988224645611,54.7711981920328,37.2676782619484,26.6995094659396,24.9995296498629
75,150.006438954348,144.494462086588,133.180664701267,116.28346353864,87.2907844269468,77.9392378316702,54.8017231883593,37.2842922577561,26.7011001472832,24.9994786428191
76,149.99774975649,144.498149681472,133.197855659126,116.301856690212,87.3270092995935,77.9883241843954,54.8373704802544,37.2982165692701,26.7041057955937,25.0008758933434
77,149.995448928756,144.501042174349,133.203933601392,116.328924273756,87.3666096048914,78.0275497063851,54.866833031441,37.3129758324838,26.7057574881038,25.00102911856
78,149.99626625787,144.499318908763,133.220045865621,116.356414916337,87.4035863077389,78.0633297679255,54.8955915711549,37.3269834880392,26.7083266165646,25.0003481903682
79,150.001740670142,144.501496083798,133.23110251684,116.374328913647,87.4442466877308,78.097208953029,54.9189377509215,37.3397916773765,26.7101146405229,24.9993884257449
80,149.999599332734,144.513195059907,133.233187546927,116.398120884082,87.4777516628075,78.1284043828304,54.9447727888984,37.35034106794,26.7122221268039,24.9989716646001
81,149.997774892606,144.502294523289,133.245785146166,116.416491394673,87.5056626507324,78.162732686466,54.9674691514839,37.3607787521002,26.7136167893036,25.0008456389688
82,150.004962429418,144.517430367262,133.255132952279,116.433326821523,87.5290967350073,78.1871112796722,54.9853363880137,37.3696665864204,26.7150461390565,25.0002117965482
83,150.001278961367,144.520751018302,133.270440967329,116.447028005362,87.560745240536,78.2124431449412,55.0058691699025,37.3792826296005,26.7176943960919,25.0011202718385
84,150.000745854124,144.521969755443,133.281816947676,116.468644320098,87.5801978849396,78.2428456192794,55.026181709882,37.3887415533428,26.7198217476225,24.998902572323
85,150.006257904957,144.514775093946,133.28380241326,116.477698867916,87.6035249170186,78.2654011075646,55.0405759751666,37.3972949125135,26.721153427594,25.0002116032584
86,149.996787585282,144.519974168262,133.297889688291,116.499016389878,87.6299281478312,78.2875702693018,55.0550173088898,37.4040628471823,26.7203800638562,24.9994627702141
87,150.003858003437,144.523818881218,133.304392806693,116.51361464079,87.6476634250882,78.3074420735868,55.0712256422212,37.4083208703424,26.7221474191175,25.0008193304336
88,150.003805936414,144.531508980728,133.303020642105,116.527836588584,87.6697196213523,78.3248543908589,55.0834631239116,37.4172038222761,26.7228598642882,24.9992274661017
89,149.998206687705,144.526293059953,133.31814336556,116.542399252673,87.6885838889619,78.3425932983459,55.098422763207,37.4223251847711,26.7241864250839,24.9998563249055
90,150.001017324611,144.537293364988,133.322109111278,116.555454722247,87.7040542918003,78.3627694030032,55.1084926010953,37.4279364338642,26.7243652392532,24.9997335287659
91,149.993637814343,144.530872715033,133.335665609021,116.564293797159,87.7213237712008,78.3746609417193,55.120119483634,37.4319863024577,26.7246542738224,25.0008164349476
92,149.99330925178,144.541147146734,133.32964223093,116.572801863674,87.7318192778806,78.3933828722598,55.1317201489853,37.4395115127787,26.726399533023,25.0004421777336
93,150.000461963295,144.541114916236,133.341653091114,116.586942509762,87.7502303144237,78.4070982100744,55.1430772448053,37.4422777776481,26.7264111397982,24.999269007586
94,150.004187508452,144.547412453052,133.346702642002,116.592412954685,87.7654738989815,78.4206570428869,55.1487289829642,37.4462919338334,26.726684067049,24.9995452618154
95,150.006510160263,144.548572727637,133.35245750794,116.594840240724,87.7769453890545,78.4302050084903,55.1601763664139,37.4506904375137,26.7297916650681,24.9990845274634
96,149.994448593127,144.553292322524,133.361570582687,116.604535753515,87.7817284630598,78.442745252452,55.1677303921393,37.4545982446847,26.7289772845088,25.0004286572237
97,150.001032354913,144.555007772579,133.360323255594,116.621190114062,87.7951255336708,78.4560403360972,55.1765154913679,37.4587867130208,26.7309463352297,25.0001774776887
98,149.999540859616,144.54877035224,133.370957270467,116.624325360961,87.8054317434747,78.4622308020694,55.178557368903,37.4621726769156,26.7309296928182,24.9991744176651
99,149.992678531043,144.55576349232,133.371004444863,116.635648385024,87.8178722102193,78.4687721151885,55.1870439691473,37.464673248983,26.729395120813,24.9991191394429
100,149.997556839666,144.550160363853,133.36919057697,116.634947752347,87.8261973632798,78.4840823751357,55.1950164266409,37.4676126449662,26.7316472445924,24.9999401992957
101,149.994932734623,144.549298299826,133.374835533275,116.645273659831,87.8364266329651,78.4906739066195,55.1988147624909,37.4708031167713,26.7321426377008,25.0010202560413
102,150.00441426811,144.56108963137,133.385684196602,116.652142202701,87.8407613681758,78.4964408737999,55.2040764169526,37.4739190819801,26.7323801281981,25.0001304375668
103,149.997168225631,144.558962203438,133.385742107085,116.650788000938,87.8469022531309,78.5089398720557,55.2119389401587,37.4774446163905,26.7325077048107,24.9988323497319
104,150.000427997033,144.559999001742,133.384644810064,116.662882700639,87.8529651440327,78.509886665565,55.2163551204861,37.4788669068558,26.7319671761799,24.9988846573161
