pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-5.998,-0.008,-0,54545.146,0,271,149.402,72.6,70.075,64.34,52.093,48.313,47.997,2298.171,2298.171,2298.171
-5.995,-0.009,-0,54545.61,0,271,149.415,72.67,70.141,64.404,52.123,48.337,48.013,2298.159,2298.159,2298.159
-5.986,-0.009,-0,54546.311,0,271,149.425,72.756,70.237,64.494,52.189,48.397,48.076,2298.19,2298.19,2298.19
-5.982,-0.008,-0,54547.014,0,271,149.42,72.815,70.295,64.547,52.213,48.418,48.098,2298.164,2298.164,2298.164
-5.992,-0.008,-0,54547.711,0,271,149.45,72.877,70.388,64.615,52.265,48.454,48.151,2298.177,2298.177,2298.177
-6,-0.008,-0,54548.41,0,271,149.438,72.963,70.464,64.675,52.307,48.493,48.178,2298.17,2298.17,2298.17
-6.019,-0.009,-0,54549.115,0,271,149.459,73.045,70.546,64.754,52.347,48.539,48.231,2298.186,2298.186,2298.186
-6.028,-0.009,-0,54549.814,0,271,149.468,73.11,70.616,64.826,52.393,48.569,48.256,2298.178,2298.178,2298.178
-6.038,-0.008,-0,54550.511,0,271,149.461,73.182,70.692,64.891,52.435,48.601,48.297,2298.178,2298.178,2298.178
-6.046,-0.009,-0,54551.22,0,271,149.468,73.253,70.767,64.963,52.478,48.644,48.339,2298.178,2298.178,2298.178
-6.053,-0.008,-0,54551.921,0,271,149.466,73.326,70.844,65.025,52.513,48.682,48.369,2298.179,2298.179,2298.179
-6.082,-0.009,-0,54552.611,0,271,149.468,73.401,70.918,65.101,52.56,48.716,48.409,2298.178,2298.178,2298.178
-6.095,-0.009,-0,54553.317,0,271,149.471,73.469,70.993,65.156,52.597,48.747,48.44,2298.178,2298.178,2298.178
-6.109,-0.009,-0,54554.017,0,271,149.465,73.54,71.063,65.234,52.632,48.781,48.471,2298.167,2298.167,2298.167
-6.126,-0.008,-0,54554.71,0,271,149.471,73.621,71.126,65.303,52.668,48.816,48.494,2298.168,2298.168,2298.168
-6.14,-0.008,-0,54555.413,0,271,149.474,73.691,71.202,65.359,52.722,48.841,48.527,2298.169,2298.169,2298.169
-6.154,-0.008,-0,54556.121,0,271,149.474,73.77,71.277,65.438,52.759,48.877,48.556,2298.171,2298.171,2298.171
-6.165,-0.008,-0,54556.817,0,271,149.477,73.847,71.356,65.501,52.813,48.92,48.594,2298.184,2298.184,2298.184
-6.184,-0.008,-0,54557.518,0,271,149.48,73.922,71.425,65.563,52.851,48.944,48.62,2298.173,2298.173,2298.173
-6.201,-0.008,-0,54558.22,0,271,149.487,73.993,71.501,65.638,52.891,48.975,48.648,2298.179,2298.179,2298.179
-6.215,-0.009,-0,54558.915,0,271,149.492,74.07,71.568,65.709,52.933,49.003,48.665,2298.176,2298.176,2298.176
-6.228,-0.008,-0,54559.611,0,271,149.476,74.138,71.641,65.762,52.969,49.02,48.668,2298.163,2298.163,2298.163
-6.246,-0.009,-0,54560.31,0,271,149.496,74.211,71.721,65.829,53.021,49.042,48.695,2298.18,2298.18,2298.18
-6.251,-0.012,-0,54561.015,0,271,149.488,74.284,71.798,65.903,53.058,49.066,48.702,2298.178,2298.178,2298.178
-6.255,-0.021,-0,54561.711,0,271,149.492,74.369,71.876,65.987,53.104,49.089,48.723,2298.188,2298.188,2298.188
-6.259,-0.028,-0,54562.418,0,271,149.48,74.435,71.943,66.025,53.137,49.078,48.717,2298.177,2298.177,2298.177
-6.263,-0.04,-0,54563.116,0,271,149.475,74.533,72.005,66.096,53.178,49.084,48.722,2298.177,2298.177,2298.177
-6.27,-0.053,-0,54563.818,0,271,149.452,74.634,72.088,66.171,53.213,49.102,48.724,2298.18,2298.18,2298.18
-6.277,-0.065,-0,54564.519,0,271,149.414,74.757,72.158,66.23,53.235,49.094,48.721,2298.17,2298.17,2298.17
-6.285,-0.075,-0,54565.212,0,271,149.381,74.935,72.245,66.296,53.28,49.12,48.736,2298.191,2298.191,2298.191
-6.288,-0.085,-0,54565.917,0,271,149.307,75.117,72.315,66.35,53.3,49.104,48.734,2298.169,2298.169,2298.169
-6.289,-0.088,-0,54566.611,0,271,149.216,75.37,72.418,66.423,53.332,49.122,48.735,2298.174,2298.174,2298.174
-6.29,-0.092,-0,54567.324,0,271,149.126,75.647,72.51,66.488,53.373,49.129,48.754,2298.18,2298.18,2298.18
-6.29,-0.095,-0,54568.017,0,271,149.043,75.913,72.619,66.54,53.393,49.129,48.743,2298.164,2298.164,2298.164
-6.291,-0.099,-0,54568.717,0,271,148.984,76.165,72.756,66.617,53.436,49.145,48.758,2298.18,2298.18,2298.18
-6.291,-0.101,-0,54569.414,0,271,148.931,76.413,72.899,66.689,53.48,49.165,48.767,2298.195,2298.195,2298.195
-6.291,-0.105,-0,54570.126,0,271,148.875,76.642,73.05,66.756,53.513,49.178,48.774,2298.202,2298.202,2298.202
-6.29,-0.106,-0,54570.825,0,271,148.804,76.857,73.196,66.833,53.533,49.173,48.775,2298.194,2298.194,2298.194
-6.288,-0.11,-0,54571.518,0,271,148.76,77.053,73.348,66.906,53.561,49.177,48.78,2298.19,2298.19,2298.19
-6.287,-0.113,-0,54572.211,0,271,148.705,77.251,73.499,66.975,53.578,49.173,48.781,2298.178,2298.178,2298.178
-6.289,-0.119,-0,54572.919,0,271,148.66,77.448,73.654,67.059,53.62,49.171,48.786,2298.171,2298.171,2298.171
-6.287,-0.124,-0,54573.62,0,271,148.61,77.641,73.817,67.138,53.636,49.2,48.8,2298.175,2298.175,2298.175
-6.289,-0.131,-0,54574.323,0,271,148.57,77.838,73.977,67.237,53.66,49.199,48.803,2298.174,2298.174,2298.174
-6.292,-0.143,-0,54575.02,0,271,148.537,78.017,74.143,67.341,53.687,49.21,48.826,2298.18,2298.18,2298.18
-6.299,-0.177,-0,54575.717,0,271,148.485,78.184,74.311,67.425,53.716,49.223,48.826,2298.176,2298.176,2298.176
-6.314,-0.219,-0,54576.415,0,271,148.443,78.373,74.476,67.529,53.741,49.24,48.836,2298.18,2298.18,2298.18
-6.325,-0.266,-0,54577.121,0,271,148.401,78.558,74.646,67.622,53.776,49.247,48.857,2298.178,2298.178,2298.178
-6.335,-0.316,-0,54577.822,0,271,148.356,78.743,74.799,67.71,53.801,49.253,48.852,2298.176,2298.176,2298.176
-6.346,-0.364,-0,54578.515,0,271,148.314,78.958,74.977,67.812,53.846,49.265,48.859,2298.189,2298.189,2298.189
-6.356,-0.415,-0,54579.218,0,271,148.279,79.154,75.145,67.925,53.879,49.278,48.874,2298.192,2298.192,2298.192
-6.364,-0.467,-0,54579.921,0,271,148.226,79.341,75.304,68.01,53.906,49.264,48.868,2298.174,2298.174,2298.174
-6.373,-0.52,-0,54580.617,0,271,148.168,79.547,75.478,68.109,53.956,49.261,48.854,2298.172,2298.172,2298.172
-6.382,-0.575,-0,54581.313,0,271,148.119,79.765,75.658,68.226,54.016,49.286,48.881,2298.186,2298.186,2298.186
-6.39,-0.63,-0,54582.014,0,271,148.064,79.958,75.825,68.323,54.075,49.278,48.876,2298.175,2298.175,2298.175
-6.398,-0.683,-0,54582.727,0,271,148.022,80.182,76.003,68.436,54.146,49.289,48.877,2298.19,2298.19,2298.19
-6.404,-0.74,-0,54583.412,0,271,147.972,80.39,76.181,68.548,54.206,49.296,48.883,2298.193,2298.193,2298.193
-6.409,-0.795,-0,54584.118,0,271,147.912,80.585,76.347,68.641,54.274,49.286,48.867,2298.175,2298.175,2298.175
-6.415,-0.853,-0,54584.813,0,271,147.866,80.799,76.532,68.762,54.358,49.296,48.88,2298.183,2298.183,2298.183
-6.417,-0.909,-0,54585.515,0,271,147.817,81.001,76.703,68.88,54.443,49.297,48.881,2298.184,2298.184,2298.184
-6.427,-0.96,-0,54586.217,0,271,147.758,81.201,76.888,68.984,54.526,49.303,48.885,2298.173,2298.173,2298.173
-6.444,-1.021,-0,54586.934,0,271,147.715,81.414,77.076,69.097,54.621,49.304,48.885,2298.177,2298.177,2298.177
-6.455,-1.076,-0,54587.616,0,271,147.676,81.634,77.257,69.218,54.717,49.324,48.894,2298.184,2298.184,2298.184
-6.467,-1.128,-0,54588.324,0,271,147.62,81.835,77.434,69.328,54.802,49.324,48.897,2298.187,2298.187,2298.187
-6.478,-1.185,-0,54589.025,0,271,147.584,82.055,77.626,69.446,54.897,49.344,48.909,2298.202,2298.202,2298.202
