pos	load		time			T_oven	T_Cu1	T_Cu2	T_Inco1	T_Inco2	T_Cu3	T_Cu4			
-6	-0.02	0	38881.041	0	272	167.175	40.361	38.369	34.955	30.437	28.849	28.666	2301.253	2301.253	2301.253
-5.991	-0.021	0	38881.063	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-5.986	-0.021	0	38881.166	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-5.998	-0.021	0	38881.268	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-6.002	-0.02	0	38881.365	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-5.998	-0.021	0	38881.471	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-5.985	-0.02	0	38881.569	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-5.993	-0.02	0	38881.664	0	272	167.154	40.445	38.444	35.014	30.469	28.851	28.673	2301.222	2301.222	2301.222
-6.001	-0.021	0	38881.765	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-6	-0.02	0	38881.868	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-5.992	-0.022	0	38881.971	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-5.985	-0.02	0	38882.065	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-5.997	-0.02	0	38882.165	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-6.002	-0.02	0	38882.265	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-5.997	-0.02	0	38882.365	0	272	167.155	40.541	38.55	35.098	30.511	28.89	28.702	2301.237	2301.237	2301.237
-5.986	-0.021	0	38882.47	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-5.993	-0.02	0	38882.567	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-6	-0.02	0	38882.667	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-6.001	-0.02	0	38882.768	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-5.993	-0.02	0	38882.866	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-5.983	-0.02	0	38882.966	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-5.995	-0.021	0	38883.068	0	272	167.145	40.635	38.642	35.17	30.548	28.912	28.729	2301.238	2301.238	2301.238
-6.002	-0.02	0	38883.165	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-6	-0.02	0	38883.265	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-5.99	-0.02	0	38883.366	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-5.986	-0.02	0	38883.464	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-5.999	-0.02	0	38883.566	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-6.002	-0.021	0	38883.666	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-5.997	-0.021	0	38883.77	0	272	167.134	40.719	38.72	35.256	30.576	28.94	28.752	2301.23	2301.23	2301.23
-5.982	-0.02	0	38883.876	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-5.993	-0.02	0	38883.965	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-6.001	-0.02	0	38884.064	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-6	-0.02	0	38884.165	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-5.993	-0.02	0	38884.267	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-5.984	-0.02	0	38884.365	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-5.997	-0.02	0	38884.468	0	272	167.138	40.822	38.813	35.326	30.622	28.966	28.785	2301.24	2301.24	2301.24
-6.001	-0.021	0	38884.566	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-5.999	-0.02	0	38884.666	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-5.988	-0.02	0	38884.765	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-5.991	-0.02	0	38884.868	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-6	-0.02	0	38884.967	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-6.001	-0.02	0	38885.066	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-5.995	-0.02	0	38885.165	0	272	167.135	40.908	38.917	35.407	30.671	28.992	28.802	2301.249	2301.249	2301.249
-5.982	-0.019	0	38885.273	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-5.995	-0.021	0	38885.375	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-6.001	-0.02	0	38885.466	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-6	-0.021	0	38885.564	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-5.991	-0.021	0	38885.665	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-5.985	-0.02	0	38885.764	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-5.998	-0.02	0	38885.866	0	272	167.127	40.993	38.999	35.488	30.697	29.011	28.822	2301.239	2301.239	2301.239
-6.002	-0.021	0	38885.966	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.998	-0.021	0	38886.065	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.984	-0.019	0	38886.166	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.967	-0.02	0	38886.275	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.925	-0.021	0	38886.37	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.907	-0.021	0	38886.467	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.896	-0.021	0	38886.566	0	272	167.115	41.087	39.09	35.553	30.74	29.042	28.86	2301.246	2301.246	2301.246
-5.893	-0.02	0	38886.665	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.905	-0.021	0	38886.766	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.908	-0.021	0	38886.871	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.9	-0.021	0	38886.967	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.889	-0.02	0	38887.067	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.905	-0.02	0	38887.165	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.91	-0.021	0	38887.267	0	272	167.118	41.177	39.177	35.634	30.781	29.061	28.878	2301.239	2301.239	2301.239
-5.906	-0.021	0	38887.367	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
-5.896	-0.02	0	38887.476	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
-5.911	-0.021	0	38887.564	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
-5.919	-0.02	0	38887.67	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
-5.916	-0.021	0	38887.768	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
-5.903	-0.021	0	38887.866	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
-5.916	-0.02	0	38887.967	0	272	167.108	41.262	39.254	35.692	30.81	29.068	28.892	2301.219	2301.219	2301.219
