pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-6.033,0.019,0,35684.83,0,272,168.836,43.482,40.816,35.914,27.677,25.534,25.305,2301.222,2301.222,2301.222
-6.033,-0.018,0,35685.325,0,272,168.871,43.592,40.928,35.998,27.715,25.559,25.341,2301.214,2301.214,2301.214
-5.951,0.009,0,35686.023,0,272,168.91,43.721,41.039,36.111,27.778,25.605,25.372,2301.222,2301.222,2301.222
-6.086,0.008,0,35686.728,0,272,168.959,43.839,41.162,36.207,27.827,25.634,25.419,2301.233,2301.233,2301.233
-5.929,-0.011,0,35687.43,0,272,168.989,43.944,41.273,36.307,27.876,25.671,25.447,2301.225,2301.225,2301.225
-6.031,0.029,0,35688.126,0,272,169.024,44.063,41.376,36.403,27.917,25.703,25.477,2301.224,2301.224,2301.224
-6.024,-0.029,0,35688.824,0,272,169.053,44.177,41.483,36.497,27.966,25.726,25.517,2301.216,2301.216,2301.216
-5.964,0.022,0,35689.526,0,272,169.1,44.276,41.602,36.596,28.012,25.763,25.541,2301.213,2301.213,2301.213
-6.112,-0.003,0,35690.224,0,272,169.13,44.394,41.718,36.687,28.062,25.801,25.57,2301.21,2301.21,2301.21
-5.91,0.01,0,35690.926,0,272,169.186,44.514,41.83,36.793,28.118,25.85,25.614,2301.228,2301.228,2301.228
-6.111,0.012,0,35691.623,0,272,169.215,44.638,41.941,36.897,28.165,25.881,25.647,2301.226,2301.226,2301.226
-5.927,-0.023,0,35692.326,0,272,169.258,44.732,42.054,36.987,28.206,25.91,25.687,2301.219,2301.219,2301.219
-6.068,0.033,0,35693.025,0,272,169.298,44.851,42.169,37.078,28.266,25.967,25.713,2301.226,2301.226,2301.226
-5.972,-0.026,0,35693.729,0,272,169.325,44.956,42.272,37.176,28.314,25.985,25.752,2301.218,2301.218,2301.218
-5.989,0.018,0,35694.425,0,272,169.355,45.075,42.382,37.274,28.359,26.03,25.783,2301.222,2301.222,2301.222
-6.059,-0.01,0,35695.126,0,272,169.399,45.192,42.497,37.373,28.414,26.063,25.826,2301.218,2301.218,2301.218
-6.001,-0.007,0,35695.825,0,272,169.442,45.311,42.613,37.475,28.467,26.106,25.864,2301.23,2301.23,2301.23
-5.985,0.028,0,35696.536,0,272,169.466,45.412,42.717,37.573,28.526,26.136,25.892,2301.221,2301.221,2301.221
-5.987,-0.003,0,35697.225,0,272,169.502,45.517,42.819,37.658,28.568,26.167,25.931,2301.214,2301.214,2301.214
-5.997,0.004,0,35697.927,0,272,169.529,45.625,42.937,37.76,28.629,26.206,25.977,2301.221,2301.221,2301.221
-5.984,0.004,0,35698.625,0,272,169.573,45.738,43.024,37.856,28.657,26.239,25.996,2301.203,2301.203,2301.203
-6.031,0.013,0,35699.325,0,272,169.611,45.854,43.149,37.964,28.731,26.279,26.053,2301.219,2301.219,2301.219
-5.98,-0.001,0,35700.025,0,272,169.648,45.966,43.258,38.054,28.786,26.323,26.082,2301.23,2301.23,2301.23
-6.003,0.001,0,35700.724,0,272,169.667,46.073,43.365,38.135,28.831,26.361,26.112,2301.214,2301.214,2301.214
-6.057,0.008,0,35701.424,0,272,169.707,46.184,43.467,38.24,28.883,26.405,26.169,2301.22,2301.22,2301.22
-5.974,0.005,0,35702.14,0,272,169.735,46.303,43.584,38.336,28.935,26.442,26.205,2301.23,2301.23,2301.23
-5.989,0.002,0,35702.826,0,272,169.762,46.403,43.694,38.426,28.983,26.479,26.235,2301.224,2301.224,2301.224
-6.005,0.002,0,35703.525,0,272,169.787,46.516,43.8,38.534,29.037,26.531,26.294,2301.232,2301.232,2301.232
-6.022,0.002,0,35704.224,0,272,169.805,46.621,43.896,38.617,29.087,26.559,26.32,2301.21,2301.21,2301.21
-6.018,0.002,0,35704.925,0,272,169.834,46.734,44.02,38.713,29.149,26.594,26.36,2301.22,2301.22,2301.22
-6.031,0.002,0,35705.63,0,272,169.847,46.842,44.118,38.804,29.204,26.638,26.409,2301.227,2301.227,2301.227
-6.042,0.002,0,35706.324,0,272,169.857,46.938,44.233,38.894,29.249,26.68,26.432,2301.218,2301.218,2301.218
-6.059,0.002,0,35707.025,0,272,169.879,47.044,44.332,38.987,29.304,26.72,26.471,2301.212,2301.212,2301.212
-6.074,0.002,0,35707.725,0,272,169.884,47.153,44.436,39.089,29.352,26.751,26.508,2301.211,2301.211,2301.211
-6.089,0.002,0,35708.425,0,272,169.919,47.283,44.553,39.188,29.418,26.802,26.56,2301.231,2301.231,2301.231
-6.099,0.002,0,35709.128,0,272,169.922,47.372,44.651,39.28,29.46,26.841,26.586,2301.215,2301.215,2301.215
-6.106,0.002,0,35709.832,0,272,169.93,47.475,44.756,39.371,29.51,26.883,26.63,2301.218,2301.218,2301.218
-6.116,0.002,0,35710.529,0,272,169.941,47.596,44.862,39.47,29.567,26.928,26.67,2301.224,2301.224,2301.224
-6.124,0.002,0,35711.243,0,272,169.958,47.701,44.96,39.568,29.629,26.956,26.713,2301.221,2301.221,2301.221
-6.141,0.002,0,35711.925,0,272,169.967,47.804,45.069,39.655,29.668,27.01,26.743,2301.215,2301.215,2301.215
-6.158,0.003,0,35712.632,0,272,169.97,47.914,45.175,39.75,29.725,27.046,26.789,2301.218,2301.218,2301.218
-6.181,0.002,0,35713.326,0,272,169.994,48.021,45.287,39.86,29.785,27.091,26.833,2301.227,2301.227,2301.227
-6.198,0.001,0,35714.032,0,272,170.004,48.127,45.389,39.948,29.843,27.139,26.877,2301.228,2301.228,2301.228
-6.213,0.002,0,35714.732,0,272,170.017,48.221,45.496,40.044,29.904,27.168,26.92,2301.235,2301.235,2301.235
-6.224,0.002,0,35715.428,0,272,170.019,48.331,45.603,40.136,29.951,27.204,26.953,2301.23,2301.23,2301.23
-6.244,0.002,0,35716.125,0,272,170.024,48.431,45.689,40.215,29.999,27.248,26.985,2301.22,2301.22,2301.22
-6.257,0,0,35716.827,0,272,170.032,48.547,45.816,40.319,30.066,27.296,27.028,2301.235,2301.235,2301.235
-6.261,-0.008,0,35717.531,0,272,170.035,48.642,45.9,40.411,30.109,27.318,27.055,2301.22,2301.22,2301.22
-6.266,-0.017,0,35718.23,0,272,170.037,48.746,46.011,40.49,30.158,27.349,27.093,2301.21,2301.21,2301.21
-6.27,-0.028,0,35718.926,0,272,170.023,48.867,46.107,40.585,30.202,27.391,27.127,2301.204,2301.204,2301.204
-6.277,-0.04,0,35719.632,0,272,170.021,48.996,46.209,40.679,30.26,27.423,27.165,2301.206,2301.206,2301.206
-6.282,-0.048,0,35720.333,0,272,170.016,49.138,46.318,40.782,30.323,27.481,27.206,2301.224,2301.224,2301.224
-6.285,-0.052,0,35721.036,0,272,169.998,49.312,46.439,40.874,30.377,27.514,27.247,2301.232,2301.232,2301.232
-6.29,-0.061,0,35721.726,0,272,169.966,49.475,46.537,40.949,30.436,27.55,27.276,2301.224,2301.224,2301.224
-6.302,-0.058,0,35722.427,0,272,169.928,49.666,46.656,41.059,30.49,27.585,27.317,2301.229,2301.229,2301.229
-6.308,-0.07,0,35723.129,0,272,169.844,49.909,46.755,41.13,30.526,27.608,27.34,2301.202,2301.202,2301.202
-6.307,-0.082,0,35723.831,0,272,169.716,50.311,46.881,41.229,30.582,27.657,27.384,2301.216,2301.216,2301.216
-6.307,-0.091,0,35724.526,0,272,169.588,50.753,47.03,41.315,30.645,27.696,27.426,2301.223,2301.223,2301.223
-6.305,-0.096,0,35725.226,0,272,169.479,51.161,47.187,41.404,30.698,27.727,27.459,2301.218,2301.218,2301.218
-6.303,-0.097,0,35725.927,0,272,169.382,51.534,47.361,41.501,30.752,27.777,27.492,2301.223,2301.223,2301.223
-6.298,-0.102,0,35726.642,0,272,169.291,51.888,47.564,41.596,30.81,27.821,27.538,2301.233,2301.233,2301.233
-6.298,-0.102,0,35727.327,0,272,169.205,52.221,47.769,41.694,30.854,27.847,27.576,2301.223,2301.223,2301.223
-6.302,-0.103,0,35728.027,0,272,169.12,52.529,47.987,41.787,30.907,27.887,27.605,2301.215,2301.215,2301.215
-6.309,-0.102,0,35728.726,0,272,169.051,52.834,48.22,41.898,30.963,27.918,27.646,2301.221,2301.221,2301.221
-6.313,-0.104,0,35729.427,0,272,168.993,53.134,48.46,42.024,31.025,27.979,27.693,2301.235,2301.235,2301.235
-6.321,-0.108,0,35730.128,0,272,168.914,53.403,48.689,42.138,31.074,28.005,27.724,2301.21,2301.21,2301.21
-6.328,-0.116,0,35730.832,0,272,168.854,53.692,48.926,42.25,31.125,28.046,27.767,2301.218,2301.218,2301.218
-6.334,-0.119,0,35731.531,0,272,168.805,53.96,49.164,42.39,31.179,28.083,27.798,2301.217,2301.217,2301.217
