pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-5.955,-0.013,0,50584.866,0,272,179.577,41.547,39.411,35.255,28.461,26.088,25.892,2302.47,2302.47,2302.47
-6.057,-0.014,0,50585.462,0,272,179.554,41.608,39.465,35.316,28.494,26.102,25.919,2302.454,2302.454,2302.454
-5.96,-0.007,0,50586.156,0,272,179.559,41.682,39.553,35.382,28.538,26.153,25.95,2302.461,2302.461,2302.461
-6.059,-0.02,0,50586.856,0,272,179.544,41.751,39.618,35.441,28.578,26.185,25.98,2302.451,2302.451,2302.451
-5.962,-0.011,0,50587.556,0,272,179.543,41.831,39.697,35.511,28.633,26.232,26.025,2302.468,2302.468,2302.468
-6.095,-0.006,0,50588.256,0,272,179.542,41.898,39.762,35.578,28.672,26.268,26.065,2302.466,2302.466,2302.466
-5.95,-0.021,0,50588.962,0,272,179.531,41.982,39.843,35.644,28.73,26.307,26.11,2302.477,2302.477,2302.477
-6.146,-0.014,0,50589.657,0,272,179.508,42.032,39.895,35.702,28.766,26.335,26.135,2302.449,2302.449,2302.449
-5.986,-0.012,0,50590.362,0,272,179.508,42.109,39.965,35.77,28.805,26.374,26.174,2302.46,2302.46,2302.46
-6.163,-0.012,0,50591.06,0,272,179.511,42.188,40.048,35.84,28.855,26.422,26.213,2302.472,2302.472,2302.472
-6.024,-0.007,0,50591.756,0,272,179.5,42.256,40.116,35.901,28.9,26.462,26.251,2302.468,2302.468,2302.468
-6.136,-0.018,0,50592.458,0,272,179.492,42.332,40.181,35.973,28.939,26.496,26.291,2302.462,2302.462,2302.462
-6.09,-0.007,0,50593.162,0,272,179.48,42.383,40.247,36.018,28.979,26.526,26.33,2302.45,2302.45,2302.45
-6.145,-0.021,0,50593.856,0,272,179.479,42.463,40.333,36.094,29.03,26.569,26.364,2302.458,2302.458,2302.458
-6.135,-0.007,0,50594.557,0,272,179.473,42.521,40.391,36.15,29.074,26.608,26.403,2302.457,2302.457,2302.457
-6.197,-0.018,0,50595.266,0,272,179.457,42.609,40.46,36.221,29.126,26.654,26.454,2302.452,2302.452,2302.452
-6.117,-0.022,0,50595.958,0,272,179.455,42.683,40.535,36.292,29.18,26.696,26.492,2302.467,2302.467,2302.467
-6.231,-0.027,0,50596.656,0,272,179.461,42.757,40.619,36.358,29.226,26.745,26.531,2302.477,2302.477,2302.477
-6.13,-0.007,0,50597.361,0,272,179.44,42.848,40.693,36.413,29.266,26.775,26.576,2302.469,2302.469,2302.469
-6.27,-0.032,0,50598.065,0,272,179.432,42.948,40.763,36.488,29.31,26.819,26.615,2302.47,2302.47,2302.47
-6.181,-0.017,0,50598.757,0,272,179.393,43.057,40.837,36.545,29.358,26.855,26.66,2302.464,2302.464,2302.464
-6.274,-0.037,0,50599.458,0,272,179.358,43.199,40.903,36.603,29.406,26.895,26.698,2302.468,2302.468,2302.468
-6.233,-0.018,0,50600.159,0,272,179.282,43.371,40.977,36.657,29.44,26.938,26.733,2302.455,2302.455,2302.455
-6.257,-0.046,0,50600.87,0,272,179.217,43.619,41.066,36.729,29.499,26.981,26.775,2302.471,2302.471,2302.471
-6.26,-0.012,0,50601.561,0,272,179.134,43.877,41.155,36.787,29.547,27.026,26.814,2302.464,2302.464,2302.464
-6.293,-0.027,0,50602.269,0,272,179.035,44.139,41.259,36.857,29.601,27.068,26.865,2302.469,2302.469,2302.469
-6.29,-0.026,0,50602.956,0,272,178.974,44.401,41.376,36.919,29.632,27.098,26.901,2302.464,2302.464,2302.464
-6.307,-0.039,0,50603.657,0,272,178.902,44.639,41.505,36.987,29.696,27.155,26.946,2302.469,2302.469,2302.469
-6.274,-0.019,0,50604.357,0,272,178.85,44.877,41.653,37.052,29.737,27.197,26.996,2302.473,2302.473,2302.473
-6.304,-0.047,0,50605.062,0,272,178.786,45.105,41.791,37.126,29.796,27.232,27.034,2302.472,2302.472,2302.472
-6.318,-0.044,0,50605.773,0,272,178.728,45.316,41.937,37.201,29.836,27.27,27.075,2302.469,2302.469,2302.469
-6.303,-0.073,0,50606.457,0,272,178.672,45.525,42.098,37.269,29.896,27.304,27.115,2302.469,2302.469,2302.469
-6.346,-0.045,0,50607.157,0,272,178.621,45.74,42.26,37.344,29.94,27.359,27.159,2302.468,2302.468,2302.468
-6.293,-0.072,0,50607.858,0,272,178.552,45.959,42.409,37.42,29.997,27.404,27.199,2302.461,2302.461,2302.461
-6.369,-0.064,0,50608.558,0,272,178.486,46.198,42.575,37.502,30.038,27.441,27.25,2302.462,2302.462,2302.462
