pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-6.004,-0.001,0,37525.04,0,261,155.378,72.019,69.501,63.159,51.653,47.635,47.32,2299.065,2299.065,2299.065
-6.014,-0.001,0,37525.739,0,261,155.399,72.079,69.57,63.224,51.712,47.691,47.374,2299.078,2299.078,2299.078
-6.017,-0.001,0,37526.446,0,261,155.392,72.131,69.62,63.274,51.746,47.725,47.408,2299.063,2299.063,2299.063
-6.004,-0.001,0,37527.14,0,261,155.397,72.197,69.678,63.331,51.8,47.777,47.455,2299.063,2299.063,2299.063
-6.019,0,0,37527.84,0,261,155.405,72.254,69.732,63.379,51.841,47.818,47.498,2299.058,2299.058,2299.058
-6.02,-0.001,0,37528.539,0,261,155.421,72.309,69.795,63.443,51.891,47.861,47.551,2299.065,2299.065,2299.065
-6.047,-0.001,0,37529.24,0,261,155.416,72.355,69.841,63.491,51.933,47.905,47.591,2299.048,2299.048,2299.048
-6.061,-0.001,0,37529.945,0,261,155.419,72.42,69.909,63.54,51.987,47.957,47.634,2299.059,2299.059,2299.059
-6.07,-0.001,0,37530.639,0,261,155.44,72.485,69.967,63.605,52.037,47.996,47.68,2299.064,2299.064,2299.064
-6.083,-0.001,0,37531.339,0,261,155.441,72.543,70.032,63.667,52.1,48.046,47.717,2299.073,2299.073,2299.073
-6.098,-0.001,0,37532.048,0,261,155.454,72.603,70.093,63.715,52.148,48.093,47.771,2299.073,2299.073,2299.073
-6.114,-0.001,0,37532.744,0,261,155.456,72.652,70.137,63.768,52.178,48.123,47.791,2299.058,2299.058,2299.058
-6.13,-0.001,0,37533.444,0,261,155.455,72.709,70.195,63.832,52.228,48.176,47.831,2299.064,2299.064,2299.064
-6.134,0,0,37534.14,0,261,155.459,72.766,70.259,63.885,52.284,48.212,47.87,2299.071,2299.071,2299.071
-6.167,-0.001,0,37534.84,0,261,155.476,72.829,70.311,63.952,52.336,48.244,47.896,2299.086,2299.086,2299.086
-6.16,-0.003,0,37535.539,0,261,155.468,72.887,70.371,63.998,52.37,48.276,47.919,2299.074,2299.074,2299.074
-6.178,-0.012,0,37536.239,0,261,155.467,72.932,70.42,64.049,52.41,48.282,47.908,2299.054,2299.054,2299.054
-6.178,-0.019,0,37536.939,0,261,155.476,72.988,70.487,64.109,52.473,48.301,47.912,2299.078,2299.078,2299.078
-6.17,-0.029,0,37537.639,0,261,155.492,73.057,70.54,64.161,52.519,48.304,47.897,2299.07,2299.07,2299.07
-6.191,-0.048,0,37538.34,0,261,155.492,73.125,70.61,64.221,52.572,48.292,47.891,2299.079,2299.079,2299.079
-6.186,-0.068,0,37539.039,0,261,155.479,73.177,70.641,64.257,52.592,48.277,47.872,2299.052,2299.052,2299.052
