pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-5.972,-0.008,0,38161.697,0,261,149.421,119.339,116.918,107.507,87.425,79.676,79.086,2299.295,2299.295,2299.295
-5.974,-0.009,0,38162.401,0,261,149.411,119.318,116.897,107.516,87.502,79.774,79.171,2299.297,2299.297,2299.297
-5.982,-0.008,0,38163.097,0,261,149.424,119.3,116.873,107.514,87.556,79.845,79.253,2299.289,2299.289,2299.289
-5.986,-0.009,0,38163.799,0,261,149.402,119.27,116.846,107.522,87.616,79.931,79.331,2299.273,2299.273,2299.273
-5.943,-0.008,0,38164.509,0,261,149.415,119.254,116.833,107.534,87.685,80.016,79.427,2299.287,2299.287,2299.287
-5.943,-0.008,0,38165.199,0,261,149.428,119.239,116.82,107.552,87.753,80.108,79.522,2299.295,2299.295,2299.295
-5.946,-0.009,0,38165.906,0,261,149.409,119.215,116.806,107.554,87.815,80.187,79.608,2299.287,2299.287,2299.287
-5.958,-0.008,0,38166.598,0,261,149.427,119.2,116.787,107.563,87.883,80.282,79.688,2299.295,2299.295,2299.295
-5.974,-0.008,0,38167.297,0,261,149.412,119.158,116.765,107.576,87.939,80.365,79.776,2299.287,2299.287,2299.287
-5.991,-0.008,0,38168.001,0,261,149.42,119.149,116.749,107.584,88.014,80.435,79.854,2299.289,2299.289,2299.289
-6.008,-0.008,0,38168.698,0,261,149.417,119.129,116.734,107.593,88.075,80.54,79.942,2299.293,2299.293,2299.293
-6.023,-0.009,0,38169.403,0,261,149.406,119.094,116.714,107.578,88.128,80.603,80.016,2299.279,2299.279,2299.279
-6.037,-0.008,0,38170.098,0,261,149.409,119.09,116.707,107.609,88.207,80.689,80.103,2299.298,2299.298,2299.298
-6.052,-0.008,0,38170.8,0,261,149.409,119.063,116.676,107.61,88.265,80.769,80.17,2299.29,2299.29,2299.29
-6.063,-0.009,0,38171.503,0,261,149.41,119.043,116.664,107.626,88.332,80.838,80.245,2299.292,2299.292,2299.292
-6.072,-0.008,0,38172.198,0,261,149.411,119.019,116.653,107.63,88.39,80.919,80.326,2299.297,2299.297,2299.297
-6.082,-0.008,0,38172.903,0,261,149.413,118.995,116.634,107.63,88.458,80.99,80.383,2299.29,2299.29,2299.29
-6.094,-0.009,0,38173.599,0,261,149.403,118.994,116.617,107.645,88.513,81.058,80.463,2299.292,2299.292,2299.292
-6.114,-0.008,0,38174.299,0,261,149.407,118.975,116.611,107.657,88.582,81.134,80.518,2299.3,2299.3,2299.3
-6.139,-0.009,0,38175,0,261,149.418,118.95,116.594,107.668,88.639,81.191,80.573,2299.304,2299.304,2299.304
-6.163,-0.009,0,38175.697,0,261,149.398,118.928,116.573,107.671,88.697,81.25,80.614,2299.294,2299.294,2299.294
-6.179,-0.009,0,38176.402,0,261,149.416,118.922,116.556,107.691,88.762,81.303,80.667,2299.307,2299.307,2299.307
-6.194,-0.009,0,38177.098,0,261,149.398,118.897,116.555,107.692,88.809,81.348,80.689,2299.304,2299.304,2299.304
-6.211,-0.008,0,38177.799,0,261,149.392,118.877,116.537,107.69,88.869,81.378,80.714,2299.296,2299.296,2299.296
-6.224,-0.008,0,38178.501,0,261,149.401,118.865,116.527,107.719,88.925,81.41,80.721,2299.311,2299.311,2299.311
-6.237,-0.012,0,38179.211,0,261,149.399,118.85,116.501,107.721,88.975,81.424,80.698,2299.304,2299.304,2299.304
-6.227,-0.018,0,38179.899,0,261,149.403,118.834,116.489,107.732,89.022,81.396,80.607,2299.309,2299.309,2299.309
-6.237,-0.025,0,38180.598,0,261,149.385,118.805,116.467,107.733,89.06,81.313,80.46,2299.284,2299.284,2299.284
-6.25,-0.038,0,38181.298,0,261,149.387,118.817,116.461,107.758,89.119,81.23,80.35,2299.306,2299.306,2299.306
-6.262,-0.051,0,38182.001,0,261,149.381,118.83,116.45,107.789,89.167,81.116,80.222,2299.306,2299.306,2299.306
