pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-5.985,-0.02,0,40080.591,0,261,151.279,63.859,60.632,54.954,41.006,38.407,38.161,2300.241,2300.241,2300.241
-5.978,-0.02,0,40081.289,0,261,151.256,63.991,60.76,55.046,41.044,38.429,38.202,2300.223,2300.223,2300.223
-5.973,-0.02,0,40081.989,0,261,151.252,64.133,60.894,55.174,41.092,38.475,38.242,2300.235,2300.235,2300.235
-5.987,-0.019,0,40082.69,0,261,151.239,64.271,61.03,55.282,41.136,38.518,38.271,2300.227,2300.227,2300.227
-5.978,-0.02,0,40083.391,0,261,151.227,64.401,61.159,55.395,41.189,38.557,38.319,2300.224,2300.224,2300.224
-5.976,-0.02,0,40084.088,0,261,151.231,64.54,61.294,55.511,41.248,38.594,38.361,2300.231,2300.231,2300.231
-5.987,-0.019,0,40084.794,0,261,151.215,64.676,61.426,55.624,41.294,38.645,38.404,2300.235,2300.235,2300.235
-5.979,-0.019,0,40085.493,0,261,151.221,64.821,61.569,55.748,41.351,38.686,38.446,2300.243,2300.243,2300.243
-5.985,-0.02,0,40086.191,0,261,151.208,64.97,61.71,55.87,41.404,38.733,38.496,2300.252,2300.252,2300.252
-6.014,-0.02,0,40086.888,0,261,151.186,65.085,61.823,55.969,41.444,38.769,38.505,2300.219,2300.219,2300.219
-6.028,-0.02,0,40087.595,0,261,151.185,65.24,61.973,56.092,41.496,38.82,38.57,2300.241,2300.241,2300.241
-6.03,-0.02,0,40088.288,0,261,151.173,65.374,62.107,56.201,41.55,38.865,38.613,2300.247,2300.247,2300.247
-6.053,-0.02,0,40088.988,0,261,151.15,65.5,62.23,56.313,41.604,38.896,38.648,2300.237,2300.237,2300.237
-6.074,-0.019,0,40089.693,0,261,151.164,65.637,62.368,56.439,41.66,38.941,38.683,2300.245,2300.245,2300.245
-6.093,-0.019,0,40090.393,0,261,151.139,65.769,62.491,56.552,41.708,38.986,38.729,2300.241,2300.241,2300.241
-6.103,-0.02,0,40091.088,0,261,151.128,65.908,62.62,56.658,41.757,39.018,38.761,2300.238,2300.238,2300.238
-6.112,-0.02,0,40091.789,0,261,151.125,66.033,62.759,56.775,41.812,39.055,38.806,2300.241,2300.241,2300.241
-6.121,-0.019,0,40092.492,0,261,151.107,66.166,62.885,56.873,41.861,39.102,38.837,2300.233,2300.233,2300.233
-6.146,-0.02,0,40093.195,0,261,151.095,66.297,63.002,56.987,41.906,39.133,38.877,2300.22,2300.22,2300.22
-6.169,-0.02,0,40093.89,0,261,151.097,66.447,63.156,57.12,41.966,39.18,38.925,2300.252,2300.252,2300.252
-6.187,-0.02,0,40094.596,0,261,151.089,66.579,63.28,57.235,42.021,39.21,38.96,2300.248,2300.248,2300.248
-6.195,-0.02,0,40095.289,0,261,151.079,66.705,63.401,57.338,42.071,39.253,38.983,2300.237,2300.237,2300.237
-6.208,-0.019,0,40095.992,0,261,151.069,66.838,63.541,57.451,42.122,39.29,39.027,2300.241,2300.241,2300.241
-6.218,-0.02,0,40096.703,0,261,151.061,66.971,63.66,57.567,42.173,39.318,39.046,2300.234,2300.234,2300.234
-6.224,-0.02,0,40097.389,0,261,151.05,67.11,63.798,57.679,42.224,39.354,39.077,2300.243,2300.243,2300.243
-6.225,-0.026,0,40098.094,0,261,151.043,67.235,63.932,57.799,42.281,39.387,39.103,2300.246,2300.246,2300.246
-6.236,-0.03,0,40098.791,0,261,151.022,67.37,64.052,57.922,42.322,39.404,39.108,2300.238,2300.238,2300.238
-6.249,-0.035,0,40099.495,0,261,150.991,67.538,64.191,58.034,42.393,39.425,39.136,2300.242,2300.242,2300.242
-6.26,-0.046,0,40100.203,0,261,150.952,67.71,64.318,58.135,42.427,39.438,39.146,2300.239,2300.239,2300.239
-6.27,-0.061,0,40100.89,0,261,150.89,67.926,64.446,58.259,42.483,39.465,39.164,2300.247,2300.247,2300.247
-6.273,-0.08,0,40101.597,0,261,150.823,68.205,64.597,58.375,42.536,39.494,39.188,2300.258,2300.258,2300.258
-6.273,-0.096,0,40102.291,0,261,150.727,68.519,64.733,58.481,42.582,39.503,39.194,2300.249,2300.249,2300.249
-6.268,-0.098,0,40102.991,0,261,150.631,68.821,64.881,58.586,42.628,39.517,39.201,2300.235,2300.235,2300.235
-6.26,-0.103,0,40103.696,0,261,150.548,69.125,65.051,58.695,42.671,39.524,39.222,2300.237,2300.237,2300.237
-6.263,-0.104,0,40104.406,0,261,150.506,69.425,65.237,58.823,42.74,39.55,39.242,2300.264,2300.264,2300.264
-6.271,-0.106,0,40105.091,0,261,150.436,69.673,65.405,58.922,42.759,39.548,39.234,2300.226,2300.226,2300.226
-6.275,-0.108,0,40105.789,0,261,150.37,69.933,65.602,59.041,42.807,39.559,39.251,2300.229,2300.229,2300.229
-6.278,-0.113,0,40106.499,0,261,150.334,70.191,65.818,59.161,42.86,39.585,39.271,2300.247,2300.247,2300.247
-6.281,-0.117,0,40107.195,0,261,150.278,70.439,66.02,59.29,42.914,39.612,39.289,2300.257,2300.257,2300.257
-6.283,-0.116,0,40107.89,0,261,150.235,70.671,66.215,59.413,42.954,39.621,39.298,2300.248,2300.248,2300.248
-6.286,-0.121,0,40108.595,0,261,150.186,70.91,66.432,59.546,42.998,39.636,39.317,2300.251,2300.251,2300.251
-6.286,-0.126,0,40109.298,0,261,150.138,71.132,66.623,59.673,43.033,39.648,39.326,2300.244,2300.244,2300.244
-6.284,-0.128,0,40109.997,0,261,150.081,71.367,66.83,59.808,43.104,39.684,39.347,2300.251,2300.251,2300.251
-6.288,-0.142,0,40110.702,0,261,150.046,71.588,67.041,59.944,43.128,39.689,39.365,2300.243,2300.243,2300.243
-6.291,-0.148,0,40111.39,0,261,150.005,71.817,67.257,60.092,43.179,39.704,39.381,2300.259,2300.259,2300.259
-6.294,-0.155,0,40112.095,0,261,149.954,72.034,67.454,60.236,43.208,39.721,39.394,2300.245,2300.245,2300.245
-6.296,-0.167,0,40112.79,0,261,149.922,72.259,67.668,60.376,43.247,39.736,39.414,2300.25,2300.25,2300.25
-6.297,-0.191,0,40113.493,0,261,149.874,72.472,67.875,60.528,43.298,39.761,39.432,2300.254,2300.254,2300.254
-6.305,-0.221,0,40114.196,0,261,149.838,72.697,68.076,60.664,43.335,39.774,39.439,2300.251,2300.251,2300.251
-6.318,-0.254,0,40114.89,0,261,149.791,72.927,68.283,60.812,43.372,39.796,39.449,2300.246,2300.246,2300.246
-6.336,-0.291,0,40115.596,0,261,149.747,73.156,68.491,60.965,43.434,39.804,39.464,2300.254,2300.254,2300.254
-6.352,-0.334,0,40116.3,0,261,149.701,73.394,68.703,61.105,43.473,39.829,39.466,2300.255,2300.255,2300.255
-6.363,-0.381,0,40116.995,0,261,149.669,73.64,68.916,61.262,43.52,39.839,39.493,2300.267,2300.267,2300.267
-6.372,-0.426,0,40117.704,0,261,149.615,73.883,69.127,61.402,43.568,39.856,39.501,2300.261,2300.261,2300.261
-6.374,-0.473,0,40118.391,0,261,149.562,74.129,69.332,61.559,43.61,39.862,39.501,2300.258,2300.258,2300.258
-6.371,-0.521,0,40119.098,0,261,149.505,74.376,69.546,61.705,43.662,39.867,39.506,2300.258,2300.258,2300.258
-6.393,-0.571,0,40119.808,0,261,149.455,74.631,69.768,61.855,43.721,39.881,39.521,2300.264,2300.264,2300.264
-6.409,-0.617,0,40120.495,0,261,149.402,74.881,69.971,62.016,43.768,39.88,39.51,2300.25,2300.25,2300.25
-6.418,-0.666,0,40121.203,0,261,149.349,75.126,70.193,62.182,43.826,39.894,39.524,2300.25,2300.25,2300.25
-6.417,-0.71,0,40121.89,0,261,149.308,75.381,70.414,62.351,43.883,39.902,39.526,2300.255,2300.255,2300.255
-6.417,-0.756,0,40122.595,0,261,149.263,75.627,70.622,62.492,43.938,39.903,39.527,2300.249,2300.249,2300.249
-6.441,-0.806,0,40123.304,0,261,149.198,75.88,70.852,62.658,43.988,39.92,39.53,2300.259,2300.259,2300.259
-6.454,-0.855,0,40123.992,0,261,149.147,76.128,71.068,62.812,44.033,39.91,39.526,2300.239,2300.239,2300.239
-6.456,-0.905,0,40124.691,0,261,149.11,76.379,71.29,62.984,44.09,39.928,39.535,2300.25,2300.25,2300.25
-6.452,-0.957,0,40125.393,0,261,149.069,76.625,71.529,63.163,44.155,39.932,39.543,2300.264,2300.264,2300.264
-6.475,-1.008,0,40126.096,0,261,149.016,76.887,71.748,63.34,44.219,39.951,39.553,2300.271,2300.271,2300.271
-6.491,-1.06,0,40126.798,0,261,148.972,77.118,71.977,63.491,44.258,39.945,39.549,2300.257,2300.257,2300.257
-6.493,-1.115,0,40127.494,0,261,148.929,77.367,72.198,63.668,44.33,39.949,39.56,2300.258,2300.258,2300.258
-6.487,-1.177,0,40128.19,0,261,148.883,77.621,72.421,63.839,44.389,39.963,39.563,2300.265,2300.265,2300.265
-6.513,-1.243,0,40128.905,0,261,148.822,77.853,72.637,63.997,44.43,39.962,39.563,2300.236,2300.236,2300.236
-6.522,-1.311,0,40129.597,0,261,148.782,78.113,72.875,64.181,44.486,39.982,39.565,2300.253,2300.253,2300.253
-6.519,-1.376,0,40130.292,0,261,148.744,78.365,73.109,64.369,44.549,39.987,39.59,2300.261,2300.261,2300.261
-6.52,-1.449,0,40130.992,0,261,148.697,78.61,73.338,64.555,44.62,39.997,39.585,2300.266,2300.266,2300.266
-6.543,-1.515,0,40131.702,0,261,148.657,78.872,73.567,64.727,44.686,40.013,39.606,2300.266,2300.266,2300.266
-6.553,-1.589,0,40132.395,0,261,148.595,79.124,73.795,64.894,44.73,40.01,39.598,2300.244,2300.244,2300.244
-6.554,-1.677,0,40133.099,0,261,148.557,79.409,74.028,65.095,44.795,40.021,39.613,2300.261,2300.261,2300.261
-6.548,-1.766,0,40133.796,0,261,148.512,79.666,74.273,65.278,44.869,40.04,39.615,2300.272,2300.272,2300.272
