pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-5.989,-0.021,0,40698.16,0,261,150.487,117.121,115.094,107.589,77.951,71.207,70.675,2300.49,2300.49,2300.49
-6.004,-0.021,0,40698.845,0,261,150.473,117.092,115.062,107.574,78.016,71.281,70.763,2300.489,2300.489,2300.489
-6.003,-0.021,0,40699.545,0,261,150.486,117.06,115.036,107.574,78.073,71.36,70.831,2300.486,2300.486,2300.486
-6.004,-0.021,0,40700.245,0,261,150.475,117.02,115.005,107.556,78.142,71.451,70.919,2300.486,2300.486,2300.486
-5.985,-0.02,0,40700.945,0,261,150.483,116.98,114.977,107.55,78.207,71.522,70.999,2300.482,2300.482,2300.482
-5.99,-0.02,0,40701.644,0,261,150.496,116.951,114.947,107.532,78.275,71.61,71.084,2300.494,2300.494,2300.494
-5.986,-0.021,0,40702.351,0,261,150.489,116.928,114.922,107.521,78.338,71.683,71.168,2300.481,2300.481,2300.481
-5.998,-0.02,0,40703.045,0,261,150.507,116.903,114.903,107.52,78.405,71.775,71.246,2300.496,2300.496,2300.496
-6.009,-0.021,0,40703.745,0,261,150.497,116.867,114.856,107.501,78.478,71.846,71.329,2300.479,2300.479,2300.479
-6.027,-0.021,0,40704.451,0,261,150.517,116.829,114.842,107.502,78.536,71.921,71.403,2300.488,2300.488,2300.488
-6.033,-0.021,0,40705.156,0,261,150.505,116.798,114.803,107.484,78.6,72.001,71.474,2300.479,2300.479,2300.479
-6.055,-0.021,0,40705.845,0,261,150.512,116.778,114.787,107.472,78.648,72.076,71.552,2300.479,2300.479,2300.479
-6.06,-0.021,0,40706.546,0,261,150.524,116.759,114.77,107.476,78.721,72.158,71.632,2300.496,2300.496,2300.496
-6.091,-0.02,0,40707.246,0,261,150.525,116.72,114.729,107.457,78.786,72.228,71.688,2300.49,2300.49,2300.49
-6.095,-0.021,0,40707.946,0,261,150.525,116.685,114.706,107.452,78.848,72.292,71.742,2300.493,2300.493,2300.493
-6.111,-0.021,0,40708.653,0,261,150.524,116.665,114.675,107.446,78.903,72.337,71.79,2300.482,2300.482,2300.482
-6.123,-0.02,0,40709.347,0,261,150.53,116.635,114.653,107.439,78.967,72.407,71.851,2300.492,2300.492,2300.492
-6.123,-0.021,0,40710.052,0,261,150.536,116.612,114.63,107.441,79.028,72.451,71.889,2300.504,2300.504,2300.504
-6.153,-0.022,0,40710.748,0,261,150.523,116.575,114.597,107.425,79.082,72.486,71.904,2300.484,2300.484,2300.484
-6.16,-0.021,0,40711.452,0,261,150.534,116.55,114.582,107.414,79.148,72.513,71.924,2300.494,2300.494,2300.494
-6.17,-0.025,0,40712.147,0,261,150.534,116.532,114.555,107.415,79.197,72.542,71.912,2300.503,2300.503,2300.503
-6.185,-0.036,0,40712.845,0,261,150.539,116.491,114.525,107.383,79.24,72.53,71.867,2300.492,2300.492,2300.492
-6.18,-0.047,0,40713.545,0,261,150.534,116.469,114.489,107.379,79.29,72.504,71.816,2300.485,2300.485,2300.485
-6.192,-0.056,0,40714.247,0,261,150.538,116.463,114.472,107.379,79.339,72.452,71.772,2300.495,2300.495,2300.495
-6.21,-0.069,0,40714.946,0,261,150.531,116.454,114.45,107.364,79.377,72.419,71.708,2300.489,2300.489,2300.489
-6.206,-0.08,0,40715.646,0,261,150.506,116.451,114.425,107.347,79.417,72.366,71.65,2300.485,2300.485,2300.485
-6.228,-0.082,0,40716.345,0,261,150.483,116.485,114.407,107.358,79.45,72.32,71.592,2300.493,2300.493,2300.493
-6.237,-0.099,0,40717.046,0,261,150.45,116.546,114.386,107.348,79.489,72.271,71.525,2300.494,2300.494,2300.494
-6.221,-0.104,0,40717.747,0,261,150.382,116.653,114.381,107.335,79.51,72.209,71.447,2300.495,2300.495,2300.495
-6.236,-0.103,0,40718.446,0,261,150.312,116.77,114.367,107.322,79.528,72.134,71.371,2300.489,2300.489,2300.489
-6.24,-0.107,0,40719.148,0,261,150.27,116.875,114.371,107.314,79.558,72.062,71.29,2300.489,2300.489,2300.489
-6.231,-0.11,0,40719.847,0,261,150.24,116.974,114.378,107.296,79.569,71.994,71.206,2300.492,2300.492,2300.492
-6.235,-0.111,0,40720.548,0,261,150.199,117.052,114.41,107.288,79.595,71.922,71.118,2300.5,2300.5,2300.5
-6.242,-0.115,0,40721.247,0,261,150.168,117.129,114.432,107.289,79.584,71.858,71.049,2300.504,2300.504,2300.504
-6.23,-0.119,0,40721.946,0,261,150.137,117.194,114.465,107.274,79.583,71.765,70.965,2300.5,2300.5,2300.5
-6.236,-0.124,0,40722.647,0,261,150.11,117.252,114.487,107.283,79.57,71.695,70.891,2300.499,2300.499,2300.499
-6.245,-0.126,0,40723.347,0,261,150.073,117.309,114.512,107.269,79.554,71.606,70.801,2300.481,2300.481,2300.481
-6.239,-0.13,0,40724.052,0,261,150.049,117.376,114.544,107.274,79.543,71.547,70.719,2300.493,2300.493,2300.493
-6.228,-0.133,0,40724.747,0,261,150.032,117.424,114.583,107.262,79.532,71.459,70.64,2300.487,2300.487,2300.487
-6.247,-0.14,0,40725.447,0,261,149.989,117.471,114.624,107.284,79.499,71.395,70.57,2300.493,2300.493,2300.493
-6.252,-0.146,0,40726.146,0,261,149.973,117.528,114.672,107.282,79.491,71.318,70.489,2300.496,2300.496,2300.496
-6.246,-0.155,0,40726.85,0,261,149.945,117.571,114.704,107.293,79.454,71.238,70.414,2300.496,2300.496,2300.496
-6.26,-0.178,0,40727.548,0,261,149.921,117.615,114.741,107.31,79.431,71.155,70.321,2300.49,2300.49,2300.49
-6.278,-0.211,0,40728.253,0,261,149.884,117.659,114.776,107.315,79.395,71.077,70.229,2300.485,2300.485,2300.485
-6.279,-0.247,0,40728.947,0,261,149.875,117.715,114.829,107.341,79.373,71.005,70.15,2300.5,2300.5,2300.5
-6.282,-0.283,0,40729.647,0,261,149.848,117.761,114.864,107.351,79.352,70.918,70.054,2300.5,2300.5,2300.5
-6.308,-0.323,0,40730.348,0,261,149.801,117.807,114.896,107.364,79.321,70.823,69.948,2300.487,2300.487,2300.487
-6.309,-0.365,0,40731.054,0,261,149.781,117.866,114.937,107.372,79.296,70.728,69.843,2300.486,2300.486,2300.486
-6.321,-0.41,0,40731.746,0,261,149.764,117.924,114.983,107.404,79.275,70.622,69.726,2300.497,2300.497,2300.497
-6.337,-0.452,0,40732.462,0,261,149.737,117.996,115.027,107.406,79.265,70.529,69.603,2300.502,2300.502,2300.502
-6.327,-0.502,0,40733.147,0,261,149.701,118.04,115.058,107.419,79.239,70.401,69.478,2300.488,2300.488,2300.488
-6.353,-0.545,0,40733.85,0,261,149.681,118.104,115.115,107.455,79.229,70.3,69.371,2300.51,2300.51,2300.51
-6.36,-0.594,0,40734.548,0,261,149.657,118.163,115.15,107.468,79.198,70.189,69.247,2300.503,2300.503,2300.503
-6.357,-0.643,0,40735.257,0,261,149.623,118.221,115.188,107.476,79.172,70.069,69.136,2300.488,2300.488,2300.488
-6.383,-0.695,0,40735.948,0,261,149.606,118.287,115.248,107.502,79.16,69.97,69.034,2300.506,2300.506,2300.506
-6.376,-0.741,0,40736.648,0,261,149.582,118.325,115.295,107.518,79.138,69.856,68.915,2300.494,2300.494,2300.494
-6.398,-0.79,0,40737.347,0,261,149.55,118.391,115.331,107.542,79.115,69.752,68.802,2300.5,2300.5,2300.5
-6.402,-0.842,0,40738.054,0,261,149.522,118.459,115.388,107.557,79.101,69.649,68.686,2300.499,2300.499,2300.499
-6.411,-0.896,0,40738.751,0,261,149.496,118.524,115.432,107.581,79.073,69.536,68.563,2300.499,2300.499,2300.499
-6.424,-0.939,0,40739.447,0,261,149.465,118.585,115.471,107.593,79.054,69.424,68.46,2300.5,2300.5,2300.5
-6.418,-0.987,0,40740.151,0,261,149.432,118.636,115.513,107.61,79.02,69.313,68.34,2300.491,2300.491,2300.491
-6.445,-1.043,0,40740.849,0,261,149.407,118.701,115.567,107.616,78.999,69.199,68.22,2300.494,2300.494,2300.494
-6.433,-1.094,0,40741.548,0,261,149.371,118.764,115.625,107.642,78.989,69.106,68.121,2300.509,2300.509,2300.509
-6.46,-1.144,0,40742.252,0,261,149.351,118.834,115.662,107.651,78.943,68.984,67.995,2300.5,2300.5,2300.5
-6.449,-1.204,0,40742.961,0,261,149.323,118.89,115.717,107.649,78.91,68.877,67.876,2300.501,2300.501,2300.501
-6.477,-1.273,0,40743.647,0,261,149.294,118.961,115.766,107.65,78.85,68.763,67.761,2300.504,2300.504,2300.504
-6.465,-1.341,0,40744.353,0,261,149.252,119.025,115.818,107.647,78.787,68.641,67.637,2300.499,2300.499,2300.499
-6.493,-1.414,0,40745.051,0,261,149.245,119.105,115.875,107.656,78.723,68.526,67.519,2300.515,2300.515,2300.515
-6.485,-1.49,0,40745.75,0,261,149.2,119.165,115.923,107.652,78.639,68.396,67.368,2300.502,2300.502,2300.502
-6.507,-1.573,0,40746.449,0,261,149.168,119.241,115.962,107.635,78.55,68.266,67.237,2300.491,2300.491,2300.491
-6.502,-1.652,0,40747.172,0,261,149.137,119.319,116.015,107.645,78.453,68.143,67.108,2300.492,2300.492,2300.492
-6.522,-1.734,0,40747.849,0,261,149.108,119.382,116.066,107.645,78.358,68.013,66.985,2300.487,2300.487,2300.487
-6.519,-1.818,0,40748.553,0,261,149.092,119.471,116.138,107.653,78.259,67.902,66.874,2300.517,2300.517,2300.517
-6.538,-1.902,0,40749.249,0,261,149.059,119.527,116.181,107.655,78.148,67.768,66.742,2300.499,2300.499,2300.499
-6.537,-1.98,0,40749.948,0,261,149.037,119.605,116.247,107.673,78.048,67.66,66.636,2300.521,2300.521,2300.521
-6.55,-2.051,0,40750.651,0,261,149.006,119.665,116.299,107.685,77.922,67.54,66.501,2300.504,2300.504,2300.504
-6.556,-2.136,0,40751.354,0,261,148.983,119.724,116.345,107.69,77.816,67.412,66.393,2300.506,2300.506,2300.506
-6.558,-2.202,0,40752.051,0,261,148.966,119.787,116.412,107.699,77.703,67.303,66.291,2300.509,2300.509,2300.509
-6.571,-2.27,0,40752.749,0,261,148.942,119.841,116.457,107.699,77.591,67.188,66.155,2300.499,2300.499,2300.499
-6.563,-2.345,0,40753.455,0,261,148.923,119.899,116.513,107.716,77.484,67.073,66.056,2300.51,2300.51,2300.51
-6.583,-2.35,0,40754.15,0,261,148.9,119.944,116.576,107.721,77.378,66.958,65.942,2300.51,2300.51,2300.51
-6.56,-2.37,0,40754.848,0,261,148.881,120,116.625,107.74,77.269,66.852,65.834,2300.514,2300.514,2300.514
-6.59,-2.447,0,40755.564,0,261,148.853,120.044,116.675,107.733,77.161,66.738,65.716,2300.501,2300.501,2300.501
-6.591,-2.529,0,40756.253,0,261,148.835,120.091,116.733,107.762,77.066,66.625,65.607,2300.502,2300.502,2300.502
-6.601,-2.593,0,40756.948,0,261,148.819,120.15,116.779,107.772,76.956,66.508,65.499,2300.503,2300.503,2300.503
-6.612,-2.644,0,40757.649,0,261,148.8,120.21,116.823,107.787,76.869,66.408,65.392,2300.507,2300.507,2300.507
-6.599,-2.706,0,40758.35,0,261,148.784,120.251,116.877,107.799,76.769,66.297,65.284,2300.51,2300.51,2300.51
-6.628,-2.767,0,40759.05,0,261,148.754,120.295,116.925,107.811,76.666,66.199,65.166,2300.503,2300.503,2300.503
-6.623,-2.829,0,40759.748,0,261,148.739,120.34,116.967,107.81,76.567,66.076,65.063,2300.501,2300.501,2300.501
-6.635,-2.888,0,40760.451,0,261,148.718,120.381,117.01,107.823,76.473,65.977,64.951,2300.495,2300.495,2300.495
-6.648,-2.944,0,40761.15,0,261,148.709,120.427,117.072,107.83,76.386,65.868,64.837,2300.509,2300.509,2300.509
-6.634,-2.993,0,40761.849,0,261,148.696,120.47,117.12,107.862,76.316,65.755,64.725,2300.519,2300.519,2300.519
-6.659,-3.048,0,40762.553,0,261,148.683,120.507,117.163,107.878,76.216,65.642,64.612,2300.517,2300.517,2300.517
-6.668,-3.107,0,40763.267,0,261,148.658,120.528,117.203,107.888,76.123,65.529,64.498,2300.504,2300.504,2300.504
