pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-5.885,-0.024,0,42649.266,0,261,147.474,59.288,55.846,50.049,39.593,37.271,37.044,2301.269,2301.269,2301.269
-5.885,-0.024,0,42649.715,0,261,147.454,59.447,55.992,50.182,39.652,37.308,37.088,2301.27,2301.27,2301.27
-5.886,-0.024,0,42650.414,0,261,147.425,59.58,56.137,50.298,39.697,37.337,37.113,2301.253,2301.253,2301.253
-5.886,-0.024,0,42651.123,0,261,147.392,59.742,56.293,50.434,39.757,37.382,37.153,2301.267,2301.267,2301.267
-5.886,-0.024,0,42651.815,0,261,147.38,59.89,56.446,50.565,39.807,37.413,37.181,2301.259,2301.259,2301.259
-5.913,-0.024,0,42652.52,0,261,147.365,60.054,56.609,50.701,39.879,37.452,37.224,2301.284,2301.284,2301.284
-5.926,-0.023,0,42653.217,0,261,147.331,60.194,56.746,50.83,39.919,37.498,37.263,2301.266,2301.266,2301.266
-5.945,-0.024,0,42653.917,0,261,147.309,60.35,56.892,50.958,39.987,37.526,37.295,2301.27,2301.27,2301.27
-5.96,-0.023,0,42654.62,0,261,147.276,60.488,57.043,51.09,40.029,37.544,37.326,2301.257,2301.257,2301.257
-5.965,-0.024,0,42655.315,0,261,147.254,60.636,57.198,51.217,40.099,37.609,37.368,2301.267,2301.267,2301.267
-5.976,-0.025,0,42656.017,0,261,147.228,60.776,57.336,51.343,40.15,37.628,37.397,2301.257,2301.257,2301.257
-5.996,-0.024,0,42656.714,0,261,147.212,60.94,57.483,51.477,40.201,37.675,37.441,2301.266,2301.266,2301.266
-6.018,-0.024,0,42657.429,0,261,147.2,61.081,57.64,51.6,40.261,37.71,37.48,2301.268,2301.268,2301.268
-6.038,-0.024,0,42658.124,0,261,147.172,61.236,57.787,51.74,40.333,37.761,37.519,2301.271,2301.271,2301.271
-6.042,-0.024,0,42658.819,0,261,147.147,61.374,57.929,51.853,40.378,37.788,37.552,2301.261,2301.261,2301.261
-6.047,-0.024,0,42659.514,0,261,147.12,61.516,58.075,51.99,40.443,37.835,37.588,2301.261,2301.261,2301.261
-6.072,-0.024,0,42660.224,0,261,147.094,61.668,58.218,52.119,40.502,37.871,37.625,2301.262,2301.262,2301.262
-6.085,-0.023,0,42660.915,0,261,147.086,61.823,58.367,52.252,40.568,37.916,37.678,2301.28,2301.28,2301.28
-6.083,-0.024,0,42661.615,0,261,147.058,61.956,58.516,52.369,40.613,37.95,37.71,2301.26,2301.26,2301.26
-6.112,-0.023,0,42662.317,0,261,147.036,62.103,58.646,52.496,40.678,37.983,37.74,2301.261,2301.261,2301.261
-6.13,-0.024,0,42663.016,0,261,147.015,62.263,58.8,52.63,40.742,38.044,37.794,2301.278,2301.278,2301.278
