pos,load,Var3,time,Var5,Var6,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,Var14,Var15,Var16
-6.277,-0.024,0,43200.617,0,261,141.919,115.539,112.683,102.284,70.159,59.71,58.931,2301.495,2301.495,2301.495
-6.251,-0.023,0,43201.323,0,261,141.93,115.536,112.681,102.316,70.192,59.772,59.008,2301.515,2301.515,2301.515
-6.238,-0.024,0,43202.015,0,261,141.928,115.488,112.658,102.325,70.217,59.838,59.108,2301.492,2301.492,2301.492
-6.235,-0.023,0,43202.717,0,261,141.943,115.457,112.642,102.345,70.262,59.94,59.237,2301.499,2301.499,2301.499
-6.21,-0.024,0,43203.423,0,261,141.934,115.437,112.62,102.342,70.277,60.062,59.364,2301.482,2301.482,2301.482
-6.182,-0.024,0,43204.117,0,261,141.952,115.427,112.628,102.385,70.326,60.2,59.533,2301.503,2301.503,2301.503
-6.179,-0.023,0,43204.822,0,261,141.958,115.397,112.613,102.385,70.349,60.336,59.682,2301.495,2301.495,2301.495
-6.157,-0.024,0,43205.522,0,261,141.962,115.373,112.597,102.395,70.389,60.466,59.838,2301.488,2301.488,2301.488
-6.13,-0.024,0,43206.226,0,261,141.983,115.368,112.583,102.41,70.444,60.624,59.992,2301.5,2301.5,2301.5
-6.13,-0.024,0,43206.925,0,261,141.992,115.336,112.569,102.421,70.502,60.772,60.146,2301.509,2301.509,2301.509
-6.115,-0.024,0,43207.616,0,261,141.994,115.323,112.556,102.429,70.541,60.922,60.304,2301.503,2301.503,2301.503
-6.087,-0.024,0,43208.317,0,261,141.989,115.287,112.535,102.424,70.592,61.06,60.455,2301.489,2301.489,2301.489
-6.094,-0.023,0,43209.019,0,261,141.999,115.276,112.531,102.434,70.661,61.207,60.598,2301.492,2301.492,2301.492
-6.077,-0.024,0,43209.728,0,261,142.006,115.271,112.511,102.444,70.736,61.362,60.756,2301.502,2301.502,2301.502
-6.046,-0.024,0,43210.416,0,261,142.013,115.248,112.487,102.446,70.799,61.497,60.908,2301.496,2301.496,2301.496
-6.033,-0.024,0,43211.118,0,261,142.017,115.233,112.481,102.446,70.869,61.655,61.065,2301.504,2301.504,2301.504
-6.02,-0.024,0,43211.819,0,261,142.028,115.223,112.47,102.457,70.954,61.799,61.216,2301.505,2301.505,2301.505
-6.008,-0.023,0,43212.524,0,261,142.026,115.184,112.451,102.449,71.027,61.947,61.357,2301.498,2301.498,2301.498
-5.984,-0.023,0,43213.223,0,261,142.037,115.182,112.456,102.462,71.105,62.095,61.513,2301.508,2301.508,2301.508
-5.99,-0.023,0,43213.917,0,261,142.04,115.16,112.438,102.465,71.189,62.237,61.666,2301.509,2301.509,2301.509
