position,load,time,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,T_room
-0.129,-1.998,43764.714,99.366,72.96,71.258,65.32,38.353,32.744,32.41,23.227
-0.129,-1.998,43764.822,99.366,72.96,71.258,65.32,38.353,32.744,32.41,23.227
-0.129,-2,43764.905,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.129,-2,43765.022,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.129,-1.999,43765.108,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.129,-1.998,43765.208,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.129,-2,43765.308,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.129,-2,43765.414,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.129,-1.996,43765.517,99.373,72.998,71.305,65.347,38.363,32.749,32.423,23.235
-0.13,-1.999,43765.615,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.131,-1.998,43765.723,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.132,-1.996,43765.813,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.135,-1.991,43765.91,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.133,-1.967,43766.006,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.133,-1.986,43766.106,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.132,-1.999,43766.207,99.374,73.031,71.337,65.386,38.381,32.765,32.432,23.239
-0.13,-1.998,43766.323,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.132,-2.007,43766.408,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.13,-2.031,43766.51,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.13,-1.996,43766.611,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.13,-1.997,43766.719,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.13,-1.996,43766.81,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.129,-1.998,43766.907,99.374,73.063,71.358,65.39,38.389,32.769,32.439,23.2
-0.129,-1.997,43767.022,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.13,-1.996,43767.115,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.129,-1.999,43767.215,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.129,-1.998,43767.342,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.129,-1.996,43767.408,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.129,-1.997,43767.512,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.128,-1.997,43767.611,99.387,73.107,71.41,65.434,38.419,32.794,32.455,23.221
-0.129,-1.998,43767.715,99.388,73.128,71.416,65.45,38.42,32.787,32.459,23.233
-0.129,-1.995,43767.821,99.388,73.128,71.416,65.45,38.42,32.787,32.459,23.233
-0.129,-1.995,43767.91,99.388,73.128,71.416,65.45,38.42,32.787,32.459,23.233
