time,T_oven,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4,T_room
7065.843,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7065.943,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7066.041,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7066.142,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7066.243,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7066.343,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7066.442,80.242,76.877,76.006,70.959,44.172,38.346,37.937,22.217
7066.543,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7066.643,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7066.742,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7066.841,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7066.943,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7067.042,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7067.142,80.23,76.855,75.994,70.958,44.172,38.338,37.936,22.24
7067.244,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.343,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.442,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.542,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.643,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.742,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.844,80.229,76.852,75.986,70.945,44.18,38.351,37.933,22.243
7067.942,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.043,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.143,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.244,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.343,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.443,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.543,80.234,76.844,75.989,70.947,44.171,38.342,37.934,22.261
7068.642,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7068.743,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7068.844,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7068.942,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7069.043,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7069.144,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7069.243,80.217,76.84,75.975,70.934,44.175,38.351,37.934,22.265
7069.343,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7069.442,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7069.544,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7069.643,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7069.743,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7069.841,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7069.942,80.21,76.823,75.976,70.928,44.175,38.338,37.936,22.269
7070.044,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.143,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.243,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.343,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.442,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.544,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.642,80.215,76.833,75.971,70.936,44.169,38.336,37.943,22.283
7070.742,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7070.844,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7070.943,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7071.042,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7071.142,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7071.244,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7071.343,80.208,76.822,75.963,70.935,44.17,38.343,37.928,22.279
7071.443,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7071.543,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7071.643,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7071.743,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7071.843,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7071.944,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7072.044,80.196,76.822,75.959,70.927,44.165,38.342,37.934,22.26
7072.143,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.243,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.343,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.442,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.544,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.644,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.744,80.191,76.804,75.953,70.941,44.177,38.338,37.926,22.219
7072.843,80.195,76.802,75.951,70.943,44.169,38.334,37.921,22.216
7072.943,80.195,76.802,75.951,70.943,44.169,38.334,37.921,22.216
7073.043,80.195,76.802,75.951,70.943,44.169,38.334,37.921,22.216
7073.143,80.195,76.802,75.951,70.943,44.169,38.334,37.921,22.216
7073.244,80.195,76.802,75.951,70.943,44.169,38.334,37.921,22.216
7073.344,80.195,76.802,75.951,70.943,44.169,38.334,37.921,22.216
